5389	13150
3584	9795
16441	11689
14435	1706
7771	734
3797	12137
5290	86
3751	8373
5724	2598
4746	943
10513	11004
12701	11153
7493	10832
17111	10055
17513	10635
5548	6639
16074	9695
11260	992
5351	3363
5438	6079
3326	2328
4507	8601
13126	10002
8081	10409
8900	8708
13568	1272
4805	10113
5048	13076
5586	1263
1144	5434
12969	13881
5489	8003
2565	4843
3162	399
4218	8068
10468	463
11873	10093
3587	11833
11650	1179
6877	10661
14300	14166
16967	9998
5552	14721
4478	9711
8413	2015
10469	9583
9745	521
5660	8879
3515	12151
12925	1478
1586	9734
4524	12418
8832	13063
7884	14652
4050	11684
9250	2163
4239	1466
3417	12479
4888	11228
5180	8070
17208	2316
13432	11142
5509	13027
5793	9037
1308	10593
4053	11229
5966	4807
13037	11296
7587	8786
5380	6576
10817	14507
5749	13842
17393	9659
3631	4598
3688	12803
5460	1291
5424	906
6011	4237
2578	11299
3083	7007
10967	15112
3974	2576
17289	15503
5550	6953
5467	13879
356	7809
3429	2603
4801	6570
5456	13094
4766	11783
7885	11152
11764	8121
12855	8459
3804	15644
5900	13246
5529	1911
2918	13230
14379	11203
5481	14970
6508	14846
9365	14409
9020	11290
6024	3909
9238	7923
8713	887
16812	14577
318	5154
4241	2388
5334	727
2677	3138
2046	9264
16429	15434
12603	12338
5747	13570
7756	8868
9419	7719
10654	8775
3579	7670
6923	14137
5522	12879
6094	14856
3588	5703
6003	9825
7931	12285
2462	8063
3316	15675
5812	3186
4907	729
5542	10679
5547	11167
4756	10363
3807	8343
13850	5984
5430	670
5727	10187
5829	10715
4417	10729
3886	1101
8186	250
4350	175
6035	10857
9662	10765
4570	14784
7610	14304
11686	11613
1610	8107
5474	8880
5429	8871
4084	14440
8881	14765
4547	4036
4534	9298
16905	14464
4033	11108
5878	9398
618	265
2334	10034
15876	11881
6017	4524
5723	7092
14887	11158
4836	11305
3882	433
17001	2555
144	13274
17267	4638
5534	2675
5286	14128
8360	5862
5382	117
3276	10651
8329	5513
3733	5884
5463	8831
6729	6875
4643	13870
7075	4448
2627	1544
9134	4982
6747	8923
13801	6212
9406	11257
7929	11297
