5389	14464
5509	11422
2918	1478
14379	11299
3797	4036
3807	9613
6024	8871
14300	10857
5829	10187
4801	2132
2697	10765
4350	734
1308	8831
8081	12059
5660	12137
4805	14784
3827	15067
9745	175
13850	10729
3631	8003
5558	5884
9250	11229
8900	10113
72	8343
5481	10363
3734	1101
3584	11167
16441	10715
5793	8107
13568	11158
8089	86
5381	10409
12925	2555
5586	3138
3515	2598
3455	670
5048	5984
6877	10093
6011	4524
17001	15503
4149	13531
4050	4982
5489	10034
16967	250
4169	8880
3751	11108
1144	13076
4836	14304
6955	14721
5290	11296
12951	399
14435	14424
5550	2616
7984	14765
4053	8923
16770	6672
8235	6875
7610	11386
5286	11103
12969	11297
7942	11153
5747	7959
5552	6953
3899	10996
6083	433
3579	286
4993	6775
12603	11632
5275	141
15876	11104
6035	10859
144	13556
9662	14577
5372	11257
3276	13613
16439	9037
17113	9795
6513	10679
8154	10488
13158	14621
2565	1263
