11375	9725
5036	2180
3747	2807
11402	873
12693	2042
8080	6434
10636	12014
10487	10014
2954	12536
7997	3851
10100	1031
3974	2692
4564	996
11057	4275
7167	12815
5369	6775
13925	3657
5755	702
5817	3546
14505	8624
12508	8520
10001	6883
10342	5262
4765	8347
1132	12919
1101	10431
11390	8966
61	7555
11150	8104
12111	1181
4657	4939
3859	3394
13825	5677
14591	12809
5569	4991
13714	13165
7523	4536
11071	4529
2652	11031
37	2272
11401	1644
5927	5918
7397	3715
9322	3253
12113	9295
13612	989
8926	13
10845	7218
877	2205
12900	1011
11602	2863
12543	2946
9398	5657
13490	7348
6446	11646
10422	4965
8036	2221
14451	771
7033	5599
13651	9071
1672	12861
6330	11842
8399	2328
13561	2804
9787	12421
13855	5722
677	11662
14398	6994
7802	10001
4781	8934
1635	6367
5404	9400
14228	8053
10558	5467
10330	12162
11640	2685
9053	6408
6626	595
6577	9005
13000	12920
8046	6188
9194	7999
14347	2255
2918	2156
2446	9550
12242	5102
7885	5603
7804	11790
12573	2075
3425	8538
12285	10123
11345	2569
6713	3894
138	5892
12412	12940
3055	9427
13012	507
11729	5688
14114	10353
3065	11189
13014	9812
5000	3553
10863	2785
12513	5704
2169	4011
12566	949
6894	12545
8464	174
4195	38
11417	1279
14055	902
14119	6709
12102	6020
11978	1729
5194	1616
2155	12923
11315	8328
2032	8298
10649	810
8467	6091
12500	9809
11937	3076
4993	1473
14628	12799
9197	9507
1007	3855
1795	3571
2834	12233
7679	11281
11585	50
13516	12816
8138	4760
10102	8541
12972	11185
7582	6189
11394	1254
3302	12804
7257	4652
5150	11391
13150	3245
5677	12129
4952	917
8325	7581
13113	3441
854	12921
13970	13200
5055	12805
2709	7492
1802	3089
9466	10260
10788	3833
10599	1527
13808	9934
5097	6416
3109	5357
11105	9902
10225	6503
14291	11104
11385	4278
6027	8048
567	12144
2597	9814
3222	12125
6098	7812
63	3188
4316	69
8370	11832
6134	10139
7993	257
13616	8880
12531	845
12742	7800
10226	12821
453	5428
10619	5205
7213	12525
1692	11458
13965	9464
6266	8681
13467	78
13583	8800
11590	7706
3743	2267
3290	1549
10945	10157
11212	9972
13839	3034
10689	8689
8607	4867
296	12170
10568	5811
977	10896
1980	3449
762	7363
5596	2791
6010	8308
7739	9575
1176	9362
14308	13111
7944	9619
6800	5148
1197	11543
7653	10657
6544	4642
8626	10477
3456	2444
10321	6316
13562	11788
2127	1102
12558	2401
1219	8460
11716	11164
139	8049
4497	5429
9380	4612
4311	13166
4605	3802
7519	5512
5187	12069
14255	2737
6582	115
1947	2694
9206	1007
4882	10396
11906	8168
12448	4297
7300	12961
12656	12981
1857	12742
6066	2725
14141	7671
7514	9342
11838	3651
1741	5136
313	10691
13904	12336
1167	10707
1829	10449
3176	5834
9619	344
14690	12166
7047	6071
236	10066
12390	10871
10504	6265
5978	3257
7538	10703
3844	8169
3528	7325
3116	11025
6848	3671
3779	1469
13923	74
7985	11053
13884	2841
3002	3367
7855	7228
3860	13031
5629	181
3889	6509
9560	7827
6029	12200
13477	1743
3238	9533
4103	8623
12024	248
1862	5511
1100	7747
11839	3621
13328	8161
12646	5264
14578	5801
13730	1817
4881	13281
13093	6732
9772	10979
6798	4597
6561	3182
13046	2321
14669	11958
11387	5996
6932	2403
4697	144
11601	1640
14412	2682
12418	10698
7570	10723
13686	6770
14660	12938
8896	6042
3861	10462
10016	8148
6916	3536
7960	10603
464	5925
3910	3152
6352	4151
14103	10137
5514	10710
10745	8198
6378	6527
4805	4930
13371	2678
6482	3767
14684	2283
9460	1493
11448	7872
4786	1259
9974	9857
9235	8250
11778	8381
2690	1277
7558	5282
12710	255
194	3194
4634	3919
12118	12922
8769	6577
13829	10208
4868	11212
6467	1456
11407	9151
9366	6054
12315	1056
7585	4462
12730	12099
9867	12325
11194	8527
13468	9665
5686	13002
258	11125
14324	1104
12856	2279
2121	8409
6984	13225
5309	4751
407	7099
12417	12348
4394	804
11918	671
6692	8556
3097	6507
3224	421
6893	12500
14767	7948
5139	4839
3761	8356
10886	13325
3355	8374
379	13138
4787	13204
1058	3893
767	2702
5881	10733
11365	11270
3061	5738
6251	5736
226	1624
7791	1276
12690	6982
11310	3067
5008	132
12846	1735
7680	9723
6314	4162
5875	2460
2986	5867
2707	10970
9605	11478
10584	12380
7347	2322
1775	7708
13776	3573
11368	9254
5741	12493
102	7697
2090	1564
13792	3757
11447	12578
14033	5648
6743	73
14384	5327
1155	9388
768	746
13141	1075
7029	8830
2	7824
14668	12670
5603	2782
10802	11344
2267	10098
2327	11591
6650	6179
10369	2733
5922	4453
8614	862
14150	10797
10853	6575
6447	12330
14709	5537
3199	2323
10195	964
13648	11727
6635	12138
11002	3299
7981	12464
4404	7234
3083	12275
11145	2492
11373	11367
9208	1665
12502	9668
5720	10684
11069	3669
253	7300
14374	10421
14306	7272
8993	330
14691	5778
5857	6837
2980	5505
5884	3836
9891	12476
13827	3187
765	8650
5728	155
1626	10310
11651	9546
13932	2479
12747	8163
8645	10755
3807	6664
4894	3046
2278	8826
3326	3195
6801	970
10332	1248
2273	2536
14613	10478
8422	8576
11617	11511
12727	6384
11146	5714
4122	392
8518	10344
4120	2501
9489	1504
11788	12360
3856	10604
7517	11681
12484	6022
11016	9632
6255	7694
2004	5544
12108	8717
12544	6959
13949	6915
10522	1215
2162	13238
10856	1526
13231	9391
10534	7732
12550	4548
9037	2802
11381	9074
552	4081
1038	5389
6407	1012
1738	7691
4558	12444
8242	8237
3711	7556
5604	10266
5624	6882
8065	6685
1583	4831
13003	4691
14231	10188
8701	3637
10728	1501
7341	12461
2938	9793
10904	5473
10913	4990
10549	6200
12565	2700
14686	729
10418	8300
1440	2852
5072	3542
9347	11733
11421	2574
11132	563
10408	1772
14045	4739
7250	12152
13143	9746
5716	5170
9328	1122
5756	8725
13465	72
11366	2593
3709	229
13921	4057
11926	7327
4694	1265
2576	4608
8002	7185
12129	11272
14144	1573
6809	1758
11932	748
4849	10101
2055	3878
7724	4907
13460	5339
9501	8766
9433	1740
12769	3013
13986	4604
992	2500
1523	3072
4426	6017
9269	6990
11786	2979
10329	2809
4059	3236
12852	7655
4246	13314
6884	2142
9563	11476
12491	12714
11307	1687
3935	3021
3993	2169
13823	10993
11292	12388
5607	7162
14351	2836
11238	4576
10449	9490
378	6372
5502	9833
11422	9015
11727	5422
1495	2641
7832	10068
4102	6975
14653	7434
11158	2652
11241	8362
376	8664
2057	6682
13963	12331
674	461
11809	9721
193	11014
12631	2436
4107	9047
14285	5132
8354	5690
7893	4233
14358	2573
10128	9161
7128	8321
13487	10027
5506	7734
5255	13158
13538	11381
2687	4014
10042	2845
3530	6496
7667	372
7718	7726
13666	10729
1585	10561
700	7700
11425	8486
6391	7028
9687	10776
9950	6350
9461	5594
6133	10768
11096	1765
14100	4367
4767	5446
13307	8523
1679	6677
9840	11482
12094	10735
12658	10402
9195	7263
5013	5981
8279	12927
688	243
12366	12040
13892	2575
10744	6872
13716	2288
14029	5245
5065	6171
6520	12673
9601	577
14603	4657
12975	1139
8650	7591
1179	889
11229	3522
6434	12563
14138	12149
11721	9648
4089	2452
810	7823
4270	7098
14354	7590
5151	6886
5855	4201
11542	12848
23	9570
12865	8605
13476	2275
13696	4574
3901	1537
8107	7731
7512	997
2618	6542
5467	7745
6956	11583
1232	12540
9668	2129
9848	7893
14380	1867
13641	8054
13478	9866
1607	11545
1185	1192
1823	11848
4623	1100
5859	13198
8278	11127
10112	3593
8228	5796
5540	1873
13900	7334
3882	7860
887	9984
8402	12603
12515	2428
14332	13213
1520	7650
4156	10295
10401	1804
7983	6969
2828	6313
7205	8340
6124	1660
8031	11793
327	7301
1173	2276
9495	10599
5262	6181
12964	3466
13043	2203
13475	2052
3481	7351
6845	4643
10410	3362
295	3576
8126	9700
3074	8618
8903	10868
4898	10688
10429	723
10891	552
14024	2468
3410	4847
7544	11120
11205	829
3253	8876
4892	11874
14513	11931
1193	2732
13518	724
1608	4144
9487	9384
4853	9878
7562	3502
8109	2083
12992	5543
14121	10021
2214	4672
9236	4918
9528	8007
14134	2860
7548	11317
13448	12839
2822	2598
3475	1653
2227	11974
968	8207
7488	7101
8612	13013
10647	7790
1712	6940
14369	2168
14601	11221
2413	2194
11945	6467
14772	10767
5027	10152
3751	7952
223	4327
1177	12194
1797	6210
8321	3227
7846	7110
13960	2245
4658	13016
3662	7687
10088	246
1589	3324
3362	8519
11593	2857
5915	8811
11538	12639
10468	9131
3628	8902
7436	3786
8357	9334
8930	9684
2450	4072
424	5270
1582	7479
6450	11815
10583	10185
2806	1666
375	10814
13590	8569
5981	11690
10673	12229
2189	12896
11825	9670
11250	3867
6269	1496
3839	2029
12785	5807
2208	12868
6997	4300
2435	473
717	8424
13977	3496
13576	1352
2670	3392
2778	5882
7412	6991
1901	5695
11823	2
2310	12972
10148	3044
2379	6620
11370	12712
601	9910
8712	7584
13958	10077
13787	8044
14425	2750
13814	11939
1620	6426
6881	2822
1042	6291
5197	525
6324	182
10494	4567
764	6851
177	2552
11289	9107
107	2073
8123	5866
3922	7959
3693	2051
12506	7068
3745	2586
3510	11864
9607	12034
1076	6221
12429	11829
4768	3852
4340	11644
5973	10326
12259	622
399	9026
9477	12740
393	11314
3113	8294
10571	5595
10653	976
1149	7013
6935	154
8500	936
125	9096
6487	170
7762	12737
4672	5870
5634	10423
9214	6253
5529	12954
14411	7588
1341	12532
13596	12696
7891	12571
10276	1043
11759	11556
6456	10560
130	877
4865	1003
11188	10987
11398	7651
6468	11026
8881	3153
5893	361
7292	6866
14060	5242
1731	11775
6154	13088
8094	4023
4903	1718
14330	12803
13584	7380
5702	5802
14382	12769
1133	1971
8828	9287
1012	718
6846	6209
1801	1390
9079	11064
13482	2138
2719	8693
3414	7242
1771	10608
9490	10824
13770	3950
6969	11692
7610	11147
7380	12801
38	10368
11597	13253
5301	12897
10966	10073
14426	6092
9008	7422
1648	9964
7017	4654
13087	9211
10801	4971
7092	13169
11091	10309
11355	3
5576	9671
6758	9038
9820	8112
13486	1733
14325	8203
9755	6341
8413	11291
9814	1283
13529	12214
14346	2812
8913	7137
4183	2745
96	5308
160	8255
625	11780
11403	498
4755	4188
7975	8735
13748	8733
9211	10140
14685	5033
13353	7659
40	5819
13473	7565
25	2375
10611	1430
7857	8135
934	4454
8349	5536
1637	201
13171	7313
419	4632
542	12128
3180	12417
8359	12731
9714	4931
13466	12580
10078	12504
14019	12636
8034	4905
4948	2025
5056	10236
12821	333
7095	68
2950	3930
9414	9097
12560	11142
14725	12140
10931	10082
9448	13298
9684	8775
6486	5127
11819	11653
736	4782
2036	10356
6603	5684
8742	1974
9497	3237
13463	12337
7101	7718
14359	3885
669	6639
6327	9540
7276	1167
7697	6750
6080	12155
6505	4944
7411	12730
733	3514
13314	9504
13894	1863
1773	6263
5465	2206
9307	11600
13726	7038
2067	12918
4893	776
14300	12051
7730	9491
4953	11138
2062	9021
9384	13273
259	3127
9559	5721
7645	5828
13462	4755
5932	3184
11157	4789
13565	11433
4284	1554
4273	6506
14672	12411
14149	5209
5580	5601
6208	5647
7801	8214
13919	10839
14263	12929
14383	4097
8224	573
13907	2648
14349	12904
12219	5153
5105	3452
11395	13185
9410	9611
370	7666
7407	3459
7906	11331
9067	1308
7559	1101
6710	13001
7183	11417
9883	7426
14370	8502
1409	1801
9419	5910
11177	5273
12598	6802
215	3937
438	12447
857	2960
2987	5433
4656	3316
8781	2216
11133	12758
14172	9615
11461	7936
729	10015
0	8415
4687	1299
6459	2074
10974	4705
12076	7770
2249	6266
10967	12498
13005	11207
13097	5935
3641	11811
11744	347
12359	6301
3163	1874
12083	7545
1572	6928
6122	3147
8185	4645
9535	6698
2752	1474
4031	3462
5850	7006
12200	3321
158	2379
7429	9788
4504	9658
7415	4826
13843	12208
12920	9727
2668	3908
8241	8815
8671	117
13421	6704
7034	6933
13671	12092
1208	7567
7503	8106
10742	6048
798	2046
3357	3561
8309	1289
12636	2775
2403	5884
2797	4034
1539	6142
14527	5314
7234	4447
9409	436
9432	4092
14273	10856
9055	4834
11247	8139
2312	6903
13511	9099
6166	8517
9387	3030
2988	7029
4486	871
12909	11738
8259	7373
6115	9265
6694	2383
6570	9266
13253	10702
10602	2019
1075	10383
3561	12999
9090	10727
2126	3698
7388	1411
3911	4773
9553	10348
11768	5810
1436	2414
12837	7941
14097	3662
4070	9731
1205	7447
10554	10992
477	4118
13218	9674
5581	1018
5778	12075
11549	12436
1363	242
3516	5390
4539	8446
13998	6641
5663	7758
14078	6412
10860	882
5014	9993
7348	195
4526	4313
14136	1798
7480	2638
10018	10947
2086	4221
555	6101
3514	2175
7202	1879
10721	8823
13390	2112
12454	8239
14242	5375
2376	2192
1761	11302
14458	6808
14070	3421
11661	608
14782	2445
11741	57
5337	6842
4776	685
1464	8594
13246	7638
14023	7352
13401	3207
7688	2788
12411	5072
4905	6425
1769	5443
13406	7627
13396	3069
708	2139
2390	7598
10868	3136
4784	18
1910	4065
6262	4989
6697	9620
6462	9717
7539	3050
13196	12027
2271	9819
9643	6713
10175	10282
11537	7578
12150	7530
12849	3118
7654	3744
1785	11294
10349	4469
8981	9613
1457	11215
9104	12930
1373	2973
5330	12996
672	4864
14216	493
3219	2035
1096	8120
2966	5670
8907	11255
12468	10033
6982	12407
13637	9494
1595	12739
11400	4324
14319	12154
14340	11513
14589	5877
4072	10626
6992	666
6009	13007
9004	13144
13553	7333
467	7629
7912	5095
9076	13210
9819	8059
14516	3978
5048	5556
9239	5598
6619	4885
4452	11786
13801	1884
13036	12884
397	7869
709	3315
4329	6504
9977	5703
10642	2708
11487	9062
11332	2162
681	3824
1078	8753
11607	8588
10507	4920
7262	7661
1566	662
2514	6465
7269	8194
13851	9249
14484	8211
8620	4113
14612	6610
12525	2660
766	12239
4440	1185
8057	9574
8570	12734
8736	11515
8048	8970
8569	11264
10277	6518
865	1707
10625	9321
11746	1039
13745	8663
11134	1818
6700	9829
12703	7195
12889	7198
432	6804
4830	3723
8231	9355
14077	11619
11085	3770
12878	3000
13030	9774
10789	10557
14116	3332
2433	8026
8834	4816
12527	12987
13945	4575
2485	4874
3030	553
9312	6236
12714	198
771	5523
8510	1111
1431	6023
9540	4638
3477	10683
1670	7203
13832	4556
11643	1273
10061	8084
5980	3231
13857	11299
3396	110
5414	5267
14368	7151
8230	985
8856	10491
9464	9413
12199	9203
2026	2603
5081	2668
5281	9108
13638	3800
13683	3219
11624	9705
14438	2032
14107	11066
32	2611
10266	3951
3704	9353
3608	5328
3649	4538
11239	6603
5846	11033
11682	5770
12410	9720
4174	12806
4496	1891
2331	3077
4130	1385
11472	382
423	11564
13159	4306
13249	1072
3394	150
3687	13259
5841	9484
14297	5286
7296	2718
3137	3650
7798	13189
955	9209
6748	2691
1546	13009
3012	6846
12960	942
4464	2881
4301	7317
7420	10495
9088	1239
1036	11707
11971	661
12112	6400
8054	4206
9628	8610
8851	6828
12585	9262
521	9053
9904	3777
12289	5577
925	435
2420	3450
7948	945
11020	6451
13004	2592
4393	3481
5699	7862
6003	1708
12571	7838
14704	10018
12707	13335
13509	7020
14168	5850
9488	9085
13449	5380
5822	3024
463	12850
10189	12472
12275	4544
3582	9594
876	11241
10924	2669
14028	5393
14705	3612
232	5687
5193	7044
12839	7715
13539	3699
11412	7674
3610	10913
10033	12721
1790	5047
11116	7721
12338	6293
14039	3099
224	4736
8824	1202
9346	12612
2979	10520
7774	11435
13658	5844
11404	2568
145	2380
2407	7723
185	5113
3208	8643
400	1946
3459	8348
50	4219
6641	3133
12692	7425
1494	11649
12922	11684
8991	2059
12209	11408
14501	13057
13233	4350
10278	3635
10763	12705
12833	9045
11534	3045
5519	7034
1165	3255
3799	5987
1322	472
10171	1217
5052	586
12770	5852
1514	3563
7238	8032
8946	7451
10896	6481
6031	2309
9044	3075
10793	3864
13324	10510
3826	1492
4415	3487
2788	8166
3389	3869
913	1898
7218	6395
4834	728
5667	8039
4979	5666
11955	11957
2741	6711
11865	9884
7483	3111
8527	9886
5937	4869
1040	5638
3805	6208
9476	2801
9923	5969
7593	5528
12270	10285
12099	3738
6736	9786
13769	6827
12980	4320
3797	9303
14115	12056
14053	13109
12421	8697
8759	8344
7925	5605
6316	301
5892	12217
2265	6845
3139	10846
1071	3088
4908	9299
2122	11685
10580	9111
5751	5937
6980	5399
12349	9702
13452	5988
7126	2976
6390	9735
9256	579
14777	6519
1725	1553
11717	11008
2762	8968
1727	706
10805	3883
12395	12052
9098	12505
7940	292
7995	2832
13699	4420
11513	10096
269	12602
4241	7619
4484	6097
14316	8662
11346	2441
6871	4010
7106	12078
9241	6640
13436	10724
5824	2183
3525	6235
4407	5787
4490	5426
6476	2985
8071	7262
614	339
8718	8714
12492	9175
4516	13318
2757	3229
11505	8034
13459	6368
14328	1695
14044	12368
11656	1794
13928	5964
10542	1261
7700	7082
4148	56
4141	112
503	11910
411	4692
7923	12245
2734	10290
12268	4416
2673	10190
5655	8190
1653	12088
14331	12266
5887	11840
12496	2799
10811	2572
591	5593
11121	3737
9468	6894
4964	1006
12135	914
12415	7748
13898	1594
10772	669
12079	5056
13441	655
5110	15
11078	12
14404	7875
11104	3266
13015	12719
9483	13311
556	12911
6836	7571
7770	5358
10971	209
4986	7236
742	77
4763	3348
5162	6044
4879	9324
13852	12914
8567	930
6611	8810
8007	8676
2815	10187
13530	9689
13549	10641
10676	3378
13275	7184
4224	4740
9189	10163
14336	3730
1780	2777
8524	4808
10516	537
12373	1144
475	12209
2810	2170
10884	2372
1343	4761
14283	5371
8385	1395
3831	4152
6861	5208
11713	12553
4531	3032
10934	3808
11180	5407
9719	10514
12850	13156
472	13174
11127	4605
12811	646
1474	681
3366	11418
14177	11244
8162	3578
12061	4165
12459	3547
11554	12148
12816	709
148	10026
9545	11155
12172	10493
9695	8881
11680	10321
3128	10418
4095	1706
7421	10332
12053	13190
792	951
7743	3973
9801	378
6571	10679
13695	7390
739	9917
5975	8474
8854	4392
13505	12054
11092	1218
8095	2327
11785	1603
483	8219
9252	8025
9566	2055
10231	7970
8343	11878
219	13038
12286	10253
758	10062
5305	8649
5174	8343
6741	3764
9166	4260
9659	7146
12166	7386
5473	10758
10705	11956
10810	9991
13528	8572
4988	2601
8617	2690
11264	9637
3518	6912
4668	5615
9907	6211
12982	6860
4433	5090
14284	8315
14517	3172
