4189+bno7-4189+bno7;1:1,2:2,3:3,4:4,5:5,6:6,7:7;0:0	172943,178507,174180,176754,177555,178483,172802,174090,171602	56371,56207,16438,11820,76299,19185,21762,66481,16898
2661+bno6-2661+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	174090,176466,177190,171865,177028,172802,175660,178507	73668,264134,21821,67661,16559,12589,68259,76568
1718+bno7-1718+bno7;1:1,2:2,3:3,4:4,5:5,6:6;7:0	180819,173772,171722,173399,171988,180637,174473,172233,172802,181644	16531,67680,71745,70834,56551,26399,26416,227693,19045,20641
1633+bno5-1633+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172802,266817,172943,181055,179709,171602,181291,179971	264134,73668,16559,21821,76779,67661,76568,68259
2301+bno2-2301+bno2;0:0,1:1,2:2,4:4,5:5,6:6,7:7;3:3	172943,172679,175474,172802,174090,174311,178507,177374,171602	19076,17217,17216,272551,18973,18974,109145,17220,21973
1627+bno6-1718+bno5;0:5,2:3,3:7,4:1,5:6,6:0,7:4;1:2	171602,178507,172280,175545,176055,177073,179709,172303,174090	15481,19045,68349,78830,68572,227197,260305,66445,71702
1276+bno2-1276+bno2;0:0,2:2,3:3,4:4,5:5,7:7;1:1	174371,179709,175080,178989,175344,174434,175545,172192,179971,177342	15481,19167,12465,56378,51797,28114,20624,66713,16898,75062
1627+bno0-1627+bno0;0:0,2:2,4:4,5:5,6:1,7:7;1:6-3:6	174311,178507,187932,175820,177374,180819,172802,3565651,172679,172743	16898,71702,26416,227693,19192,56551,56371,26399,19167,15481
1278+bno5-1718+bno2;1:7,2:3,4:5,5:6,6:1,7:4;3:2	177374,172943,179488,172802,174090,178483,178489,178507,178250,171602	21762,20055,54126,12462,71702,94186,51792,21454,69993,56371
1276+bno4-1276+bno4;0:0,2:2,3:3,4:4,5:5,7:7;6:1	180819,173772,175162,172233,173399,174473,171722,180637,172802,181644	68052,107686,28114,56378,12462,12465,20624,66713,15481,19167
1718+bno5-1718+bno7;1:5,3:3,4:6,5:1,6:4,7:2;2:7	173846,172743,179946,174243,179714,172802,175998,3565253,177374,178507	260305,71702,68572,68349,66445,19045,227197,78830,68052,107686
1309+bno2-1627+bno2;0:0,1:3,2:1,3:2,4:5,6:4,7:7;	171975,175504,181030,172802,180827,176848,176224,179972,176434	13629,109145,20430,16898,19076,21973,26554,18973,19942
2661+bno7-2661+bno7;1:1,2:2,3:3,4:4,5:5,6:6,7:7;	174090,176466,177190,171865,177028,172802,175660,178507,177374	26554,272551,18973,17217,17220,18974,109145,21973,21969
1276+bno0-1276+bno0;0:0,2:4,3:5,4:2,5:3,7:7;1:1,6	174311,172802,176748,177374,179709,178250,178507,177587,172943,171602	56371,114641,14571,59029,19045,66445,19185,12974,20055,71702
1627+bno0-1627+bno0;0:0,2:5,5:2,7:7;1:1-6:1	171602,175922,177600,176006,175504,180827,176848,179972,174090,172755,173118,179999	16898,19185,19192,114641,26416,227693,56551,26399,269261,67680,71745,16531
1631+bno5-1774+bno7;0:1,2:3,3:2,4:5,5:4,7:6;1:0	175716,175837,171722,178619,175162,180637,171988,172233,178507,181644	71702,13424,20334,26951,18472,445007,72124,110379,56371,19989
1627+bno0-1627+bno0;0:0,1:1,2:2,4:4,5:5,7:7;3:6-6:6	178507,174090,187932,172943,175820,177374,180819,3565651,172679,172743	71702,20055,26416,16898,227693,19192,56551,26399,19167,15481
1718+bno2-1718+bno2;0:0,1:1,3:4,4:3,6:6,7:7;2:2	174090,171602,181682,176162,180819,179709,178250,182875,178507,177374	15481,14810,71302,54126,94186,19052,51792,69993,71702,21454
