Q2T9J0 Q2T9J0
Q9UBQ0 Q8TAZ6
Q86YC2 Q86YC2
Q9H5L6 Q9H5L6
Q3V6T2 Q3V6T2
Q32NC0 O43827
B4DRS2 P21917
Q8IYX4 Q8TCB7
Q99719 Q969Q1
O15381 O15381
Q8WX94 Q8WX94
Q9UL26 Q9UL26
P08754 P08754
Q58FF6 Q8WYK0
P07196 P07196
Q15329 Q86YV9
P56182 Q14494
Q6ZUJ8 Q9UHI7
Q8WUX2 Q8WUX2
Q2VIQ3 O60294
P23229 P23229
Q14974 Q14974
Q8NE71 Q8NE71
O43167 P43220
Q7KZS0 Q9NUN5
P21912 P37108
P16591 Q9BRG2
P33240 P33240
Q9UBD6 Q67FW5
Q12791 Q12791
Q9H568 Q7Z5N4
P62487 Q02930
Q8NBB4 Q8NBB4
Q9Y2I1 P49750
Q5T5P2 P23469
P23352 P32249
Q9H2Y7 O95751
Q96A22 Q8NGW1
Q02641 O15547
Q7Z3H4 Q8WXB4
Q5T5P2 O75688
Q12830 Q12830
Q9HBE5 Q99983
Q7Z628 Q7Z628
Q96Q04 A0A0A0MQW5
Q5H9R7 Q8IUW3
Q86WU2 Q8TBZ0
Q2VIQ3 Q8N1W1
O75534 O75534
P21439 Q9ULP0
Q16254 Q16254
P29320 P29320
Q71RC2 Q71RC2
Q5EB52 P04233
Q6UWU2 Q6UWU2
Q14151 Q14151
Q8N3Z6 O14524
Q9ULC6 P11597
Q2TAK8 Q9BUY5
Q9NQI0 P50993
Q9Y2C9 Q9Y2C9
Q5MIZ7 Q5MIZ7
P51813 Q15392
P46783 P46783
P23760 Q92949
Q9ULP0 P42658
Q9C009 Q66K89
O95273 O95273
Q9NWV4 Q02985
Q6PUV4 Q6UWU2
P35232 P35232
O95544 Q8WW59
Q86VQ1 Q6ZW31
P54259 P54259
Q7Z2W4 Q7Z2W4
P49750 P58107
O94923 Q49A26
Q9UBW8 Q9UBW8
Q8N1G0 Q8TEH3
Q96NL3 Q3ZCT1
Q9NQ38 O43854
O15027 Q96T76
Q9Y664 Q8NGW1
P45983 P45983
Q9UPT6 Q9UPT6
O95619 Q5TAQ9
O43593 Q9UJU2
P24468 P24468
Q5VYS8 Q5VYS8
O60264 P42336
Q9UBB6 O14545
Q8N1G0 P56182
P51813 P51813
O00634 Q6ZVN8
Q7Z6M3 Q58FF6
Q8NFA0 Q9P2D0
P34741 P34741
P98153 Q9NUN5
Q96AP0 Q96AP0
Q9NWF9 Q96ST2
P06241 P06241
Q9Y2W2 Q9Y2W2
O00567 O00567
Q92833 Q92833
Q86WJ1 Q9BZD4
Q8IXM7 Q8IXM7
P07550 P07550
Q9UHA4 Q9UHA4
P08172 A6NDU8
P62140 P62140
Q9BXP5 Q92499
P53675 Q5VZL5
Q6P3S1 Q6P3S1
Q8WU90 Q9Y262
P09622 P09622
Q13829 Q13829
P16260 Q494R4
P04628 Q96C15
Q9H8Y8 Q9H8Y8
Q6PML9 O94923
Q8IWT3 Q8IWT3
Q96EB1 Q14789
A0A0S2Z4A7 P31268
Q9Y2P5 Q7KZS0
Q96PC2 O60294
Q9Y4K3 Q9Y4K3
Q29RF7 P56545
Q96T52 Q5T3U5
Q01105 Q01105
Q8TAZ6 Q6NVV7
Q32NC0 Q8NES3
Q8WVM0 Q14331
P12830 P12830
Q5BKY9 P04233
O75832 O75832
O95834 Q8NC42
Q9H9Y4 Q9H9Y4
P62068 P20333
P37198 Q9NXV2
O43314 Q6AI08
Q9Y253 Q9H6K4
Q9Y3L5 Q9ULB4
Q9UBX1 P59666
P49069 P49069
Q5U5R9 O60519
Q92504 Q92504
Q86TB9 Q92688
Q9NQ38 Q9ULP0
P16401 Q8TEM1
Q9HCD6 Q8N137
Q96QG7 O43164
Q9NP97 Q99797
Q9BZF9 Q9BZF9
Q96CN4 Q96CN4
Q9UJU2 Q9UJU2
P55265 Q9UNF1
O95059 Q9BRV3
Q92729 Q92729
P25705 P25705
Q96S15 P98153
Q9Y6B2 Q8TBC4
Q8N693 Q8N693
P15586 Q9Y244
P09105 Q8N8L2
P16930 P16930
Q13547 Q13547
Q13233 Q13233
Q9UN86 Q9UN86
Q9UPW5 O14545
Q9BZB8 Q9BZB8
Q96JC1 O00154
Q9Y450 Q6NZY4
Q5EB52 Q9UBI4
O94804 Q96ST2
Q06187 Q06187
A8KA83 P59666
O94817 P33240
P62318 P62318
Q9BQ24 Q13671
P49640 Q9P2J9
Q12834 Q12834
Q96NT0 Q96NT0
Q8NEM0 P12882
Q96FH0 P16260
Q8NGW1 Q96A22
Q8WW59 Q9H204
P15954 P15954
P35527 P13647
P56182 Q8N1G0
Q9UBC2 Q9UBC2
P61326 P61326
P51826 Q9H269
Q16553 Q16553
Q8IW50 Q9NPC1
P07585 Q12830
Q96EZ8 P51531
Q9NQX3 Q9NQX3
O00445 Q6NX55
Q96ND0 Q9UPI3
O15350 O15350
Q9BRS2 Q7Z4H7
Q9NXV2 P37198
Q14525 B4DRS2
Q86WP2 O94766
O95630 P46736
Q92185 Q6UWW0
Q8N9A8 Q8N9A8
O15287 O15287
O95279 O95279
O95881 P38405
P49454 Q9BPZ7
P04201 P04201
P35908 P35908
Q00G26 Q00G26
Q8N1L9 P17544
Q9UPT6 Q86X10
Q9BUW7 Q9BUW7
P62491 Q9Y2X7
Q9NSA3 Q9Y3L5
Q12830 Q8NI51
P62487 Q9UHK0
P45985 Q9NX63
P78368 P78368
Q86VQ1 Q86VQ1
P52272 P52272
Q2TAK8 Q2TAK8
P13637 P13637
P29728 P29728
Q8N7X8 Q8N7X8
Q7Z6M3 Q9Y519
P31268 A0A0S2Z3R2
P62913 P61513
Q13049 P53355
O95158 Q9NXG6
Q9UJT1 Q9UJT1
P40259 Q03405
Q9Y2X7 Q9Y2X7
Q9Y2K9 Q99985
P18433 O15524
P04628 Q86UQ0
Q9Y2K5 Q9Y2K5
Q99616 Q99616
P42677 P42677
O00308 Q14160
P17947 Q92610
Q13395 Q9NP80
Q99684 Q99684
Q09666 Q09666
Q9UJW3 Q9UJW3
Q16513 O14727
P37198 Q13829
Q13542 Q9BUY5
Q96T76 Q96T76
Q08380 Q08380
O95147 Q9BRG2
P63096 P63096
Q9NZ09 Q8IWV7
O94813 Q7Z5N4
Q5TC82 P38405
Q58FF6 Q9Y519
O00255 O75182
Q8IYX4 Q9Y2C9
Q14814 Q14814
Q9BRP1 A0AVF1
Q9UNF1 Q9UNF1
Q9NXT0 Q9NXT0
P51811 O75071
O14493 Q8N7X8
Q9P2J9 P49640
Q9UK45 Q9NWV4
O95477 O95477
Q6NVV7 P04233
Q96ND0 Q9Y5W7
Q99973 Q99973
Q14789 Q14789
Q13905 Q99952
Q8IX03 Q8NB46
Q9H9Y4 Q9H1J1
P80098 Q8IWB7
Q02641 Q7Z4U5
Q96T76 O15027
Q8N4I8 Q8N4I8
Q99797 Q9NP97
Q969W9 Q7Z572
A0AVF1 P0DPB3
P55036 P02786
Q13405 Q13405
O60519 O60519
Q86YV9 Q6UUV9
Q711Q0 Q8N1W1
Q9NP56 Q6P280
Q02040 Q02040
Q496A3 Q9Y4H4
Q9H0H5 Q9BQ83
Q96CS2 P0DPB3
