A0A0G2JTA1 Q9QZC5
G3V9N1 Q5XIT9
Q9Z2Z8 Q9Z2Z8
D3ZVM4 A0A0G2K8Q8
Q6AY09 A1A5P2
D4A240 D4A240
G3V702 G3V702
E9PU01 Q2PQA9
F1LUD4 D3ZXH8
D4A0M3 P08050
E9PTS7 E9PTS7
D3ZTX0 D4ADT5
D3ZIK8 D3ZIK8
A0A0G2JSN4 G3V931
Q66HP8 F1LUM5
D3ZCR4 F1LU27
Q4V8G5 Q4V8G5
F1M7K4 D4A9Y0
M0RCM7 Q63486
F1M5Q3 B1WC54
Q9JJ46 M0R3X4
D4AD35 D3ZRK7
A0A0G2K5E6 A0A0G2K5E6
Q5PQU0 P70550
Q924U5 Q924U5
B2GUX2 B2GUX2
D4ADT9 D4A520
D3ZCS5 D3ZCS5
F1LSC5 H9KVE7
O88368 Q5U2R0
Q62762 M0RBT9
D3ZNX3 A2VCW5
P0C5J9 A0A0G2JUJ7
D3ZHV0 D4A980
Q5XI21 Q6QI44
Q6AYG3 F1M978
F1LNP1 D4A6K4
Q812D3 D3ZRD9
F1M972 P10037
F1M8I5 Q66HP1
A0A0H2UHN1 E9PT99
B2RZ38 Q64361
D4A1J6 Q9JLA3
F1LN34 F1LN34
D3ZV19 D3ZV19
D4A7E9 F1LVT0
A0A0G2K9S1 A0A0G2K9S1
D4A9D6 D4A9D6
F1LS93 Q5BK68
A1L1L6 P50475
D3ZW24 D3ZWG3
P55213 G3V6D2
M0R7R2 F1MAM1
P49000 P49000
Q63396 Q63396
A0A0H2UHF5 A0A0H2UHF5
F1LNT5 P26794
Q6AY09 Q5RJM0
D4A1L2 P53790
Q4VFZ4 D3ZA38
A0A140TAA8 Q5XI98
D3ZID8 D4A6K4
Q5PPH4 A0A0G2JSI5
G3V974 D4A6Q6
D3ZBH0 Q6AYB4
D3ZL50 D3ZL50
A0A0G2JZL6 A0A0G2JZL6
B5DF86 Q5M9G8
A0A0G2K3D7 A0A0G2K3D7
F1M9Q8 A0A0G2KA90
F1M853 A0A096MJZ2
Q5M9F8 Q5M9F8
Q4V899 D3ZI68
Q3KRE8 F1M853
D4AB71 A0A0G2K5R4
D4A6K4 Q642E5
Q99PT0 B1WC28
Q5U2S7 Q5U2S7
Q6MG13 Q6MG13
B4F762 H9KVE7
F1LXJ9 D3ZRJ7
A0A0G2JVF3 A0A0G2JVF3
P26794 G3V6D2
Q642E5 D4A8G6
Q5XIQ6 Q64057
A0A0G2JUG7 A0A0G2JUG7
B3DM92 G3V8G3
A0A0G2JSY8 A0A0G2JSY8
A0A0G2K9L9 D4ACF2
Q4V898 A0A0G2K283
M0RCA0 F1LMF9
G3V6L8 G3V6L8
P48508 Q6IFU9
F1M311 Q5S3S9
F7FLS6 F1LSM5
D4A7P9 M0RB24
B1WC02 Q66HF1
A0A0H2UHU4 M0R7R2
D4ABC4 D4A5U3
Q6P7B6 D4A478
Q6IFV1 F1LXJ9
P14173 Q9QWJ9
D4A349 D4A8C5
B0BN63 F1LQ81
Q68A65 D4A8G6
G3V8W6 F7ESD4
D3ZWW5 D3ZQ18
G3V9L3 F1LXV3
A0A0G2JUQ8 E9PSV5
D4A1J3 Q6MG14
F1LQN6 P18901
D4A1J6 D3ZBL6
H9KVE7 Q5FVC4
D3ZUJ5 P60889
F1LUD4 P0C6P7
Q9QYJ2 D4A6W7
Q5XIK2 P55770
Q9JK64 Q9JK64
F1LQM8 D3Z8X4
Q7TPB4 Q7TPB4
Q5FVN6 D3ZA45
Q99MA0 B2GUY9
M0RDJ3 M0RDJ3
B5DFI4 B5DFI4
Q9JI15 P50430
D3ZLC1 F1LXF5
D3ZES7 D3ZES7
D3ZZZ9 D3ZZZ9
Q8CJ99 Q8CJ99
Q4KLZ3 Q4KLZ3
D4A898 O35410
A0A140TAB9 A0A140TAB9
D3ZY49 A0A0G2JUT7
Q3B7L1 D4ABC4
G3V7N1 G3V6D7
D3ZYL4 D3ZYL4
Q9WTQ1 B2GV31
Q6P6U0 B4F762
Q66H76 Q66H76
Q5XIF4 Q5XIF4
G3V9A3 G3V9A3
M0R5V4 B2RZ38
D3ZHV0 D3ZHV0
D3ZEX7 D3ZEX7
D4AA42 D4AA42
G3V6Q6 D3ZTX0
G3V7M6 G3V7M6
B1WBY1 B1WBY1
Q6P771 P16443
P85515 B2RYL8
A0A096MJZ2 G3V9N1
F1LRM5 D3ZEH2
A0A0H2UH97 F1LRB5
G3V931 Q924U5
D3ZRX9 A0A0H2UH91
D4A2G7 O88368
Q5BQE6 Q5BQE6
D3ZN21 B1WBW4
B1WC90 B1WC90
F1LMW7 F1LMW7
D3ZAQ2 Q9JJL4
Q6AYM2 Q5U2S1
M0RDF1 Q3T1I9
Q498C9 G3V700
A0A0G2K4Y2 A0A0G2K4Y2
M0R6T4 M0R6T4
