A0A0G2JTA1 Q9QZC5
F1LMK2 F1LSG7
A0A0H2UHH2 F1M981
A0A0G2JWR1 D4A1H7
A0A0G2K849 A0A0G2K849
A0A0G2K4K0 Q63504
G3V8V5 Q9QZE9
G3V812 D3ZBH0
P05540 A0A0G2K6E5
A0A0G2K6E5 Q5XIB8
Q5FVQ4 Q5FVQ4
P05982 D3ZDZ0
D4AED2 A0A0H2UH91
Q3B7U1 Q3B7U1
M0RAA8 Q569C3
A0A0H2UH92 D4AEG2
Q71TY3 Q71TY3
F1M5C9 F1LWX5
D3ZYT2 D3ZYT2
D4ACW0 D4ACW0
Q64232 Q64232
P26794 F1LNT5
P55770 D4A552
D4ACG6 Q6AYL9
Q6HA10 D4A7P9
B2GUX2 A0A0G2K4P0
Q5RKH0 O70185
D3ZRE1 D3ZLM7
Q5U2T7 P17764
Q3SWS8 Q5XIF4
F1LUM5 Q66HP8
R4GNK3 R4GNK3
Q6P791 Q6P791
Q5EB96 D4A704
Q9WVR7 D4A8H3
B1H224 B1H224
D4A0U3 D4A0U3
D3ZJZ0 A0A0G2JZF6
A0A0G2K9C0 B1H227
P67999 P67999
D4ABM3 E9PT99
D3ZUJ5 D3ZVM4
A0A0G2JXI1 Q5XIB2
B2RZ70 F1LZD2
P52944 Q27W02
B3DM92 Q63511
A0A0G2JX94 A0A0G2JX94
F1LN50 A0A0G2K333
F1LQZ4 D3Z822
Q9QZC5 A0A0G2JTA1
Q6AY85 Q6AY85
P62716 P62716
P51556 D3ZPI8
D4A5U3 D4ABC4
Q642B0 M0R476
M0R493 Q66H21
F1LMK3 D4ABZ6
D4AEK3 D4AEK3
G3V7X4 D3ZTE6
Q5U2R0 F1LMK3
D3Z8I0 D3ZLP2
A0A0G2K8X4 A0A0G2K8X4
D4AAK2 O88658
Q6P7P5 F1M9Q3
P52164 P52164
R9PXV5 R9PXV5
D3ZTB4 D3ZXS8
D3ZLZ9 A0A0H2UH91
D3ZW38 D3ZW38
Q641Y8 Q641Y8
Q5M7U6 Q5M7U6
A0A0G2KA90 Q62867
O70436 O70436
G3V8U2 G3V8U2
D3ZXJ0 D3ZXJ0
Q4V8I4 Q4V8I4
Q6MG75 Q3T1L0
A0A140TAI2 Q64361
Q64542 A0A0G2JUP9
D3ZFT1 D4AAH4
Q4V7D8 D3ZCS5
F1M0G5 G3V6D7
A0A0G2KAI9 A0A0G2KAI9
D3ZSN4 F1M9X7
G3V7I9 M0R493
F1LNV7 F1LNV7
Q62867 Q3B7L1
A0A0G2JXC2 Q6AXV0
Q4V893 B2RYK0
A0A0G2K4P0 A0A0G2K4K0
D3ZMY7 D3ZMY7
G3V913 G3V913
M0R5V4 M0R5V4
D4A930 A0A0H2UH97
B5DF93 D4AEC2
G3V7P7 D3ZLZ9
D3ZTK5 D3ZTK5
Q925N6 D4A7P9
P70550 Q5PQU0
D3ZVM4 D3ZUJ5
B2GUZ9 D3ZTX0
B0BN55 F1M8L9
A0A0G2JUS6 D3ZRX9
A0A0H2UI20 A0A0H2UI20
F1LMD6 P28647
D4ADZ2 D4ADZ2
F1LXF5 D3ZLC1
D3ZTB4 D3ZTB4
A0A0H2UH91 D4ABY4
D3ZUU6 F1M957
A0A0G2K509 F1M7K4
Q3MIF2 D3ZNH2
P26453 P26453
D3ZSF0 D3ZY49
F1M9X7 D3ZSN4
D3ZPF0 D3ZPF0
P36877 P36877
P25427 P25427
D4A8H3 D4A8H3
Q62849 B2RZ08
F1LUM5 Q6IG00
P05540 P19024
G3V8H8 A0A0G2KAW9
M0RBF8 M0RBF8
Q63511 F1LQN6
F1M5Q3 A0A0G2K4T8
A0A0G2JV16 D3ZN21
Q62867 A0A0G2K5H7
Q5M7U1 Q5M7U1
G3V734 Q5U2N1
B3DMA1 Q9ES73
D3ZS85 M0RCA8
A0A140TAI1 A0A140TAI1
Q59IV9 Q59IV9
Q06175 Q06175
Q5PPH4 Q5PPH4
A0A0G2JWJ3 A0A0G2JWJ3
Q8R560 P21571
A0A0G2K862 D4A6W7
D3ZF86 A0A0G2K9E1
A0A0G2JSV9 F1M0P3
B2GV82 P04642
A0A0G2K4H7 B2RYD9
F1LM55 F1LM55
D3ZT87 D3ZT87
A0A0G2JWE9 Q4KLZ3
A0A0G2JYS9 A0A0G2JYS9
P97520 B2GUV0
F1LQD1 F1LQD1
O70185 D4A648
P52944 F1M0P3
Q5PQW4 A0A0G2K864
F1LNP1 B1WBU6
A0A0G2JTG7 Q09073
E9PT99 D3ZN21
F1LN03 A0A0G2JZL6
D3ZYB6 D3ZIV8
D4ACC5 D4ACF1
Q6P6R0 P18901
Q9QYJ2 F1LMD6
Q6MGC9 Q6MGC9
Q2MCP5 Q2MCP5
Q99NA7 D4A930
Q1LZ51 D3ZVI2
A1A5P2 Q6AY09
Q6AYB4 M0R8P3
A0A140TAJ3 F1LSQ0
D3Z8B9 D3Z8B9
F1LU27 F1LU27
D3ZV49 A0A0H2UHM0
B3DMA5 G3V981
F1LP82 A0A0G2JXT8
Q68FX7 Q68FX7
D3ZF86 F1LNL3
B1WBW4 B1WBW4
D4A9Y0 Q6IFV1
A0A0G2JUM3 A0A0G2JUM3
D3ZBP3 B2RZ57
A0A0G2JU05 A0A0G2JU05
D3ZBY5 D3ZBY5
D3ZI49 D3ZI49
H1UBN0 D3ZYQ0
B2GV82 B2GV82
D4A5U3 Q62867
F1MAL5 Q64620
G3V877 G3V877
Q4V7E0 Q4L0E9
Q6AYL3 Q6AYL3
G3V981 F1LMK3
Q66H16 Q505I5
Q924U5 P05540
D3ZY39 D3ZY39
Q6MG27 D4A469
F1MAK9 A1A5S1
G3V711 F1LSM5
Q3B7T9 Q3B7T9
G3V7N1 G3V8V5
A2VCX1 A2VCX1
P52944 P52944
Q4G073 D4A7G2
D3ZU52 D3ZU52
A0A0G2K4P5 B0K014
Q7TNZ9 A0A0G2JXD5
A0A0G2KBA2 D3Z8G7
Q6AYE0 F1M8L9
P61203 P61203
D4ABV2 G3V6G1
B0BN89 B0BN89
Q5XIK2 F1LP82
A0A0G2JZU6 Q6P6R0
D4A447 P61131
F1MAM1 M0R7R2
D4A8G6 G3V6K4
Q5U3Y7 G3V6D2
D4ACW1 D4ACW1
F1MA98 G3V700
A2IBE0 A2IBE0
A0A0G2JXI1 F1M944
A1L1L6 F7FF45
B0BNG7 B0BNG7
Q5PQU0 A0A0G2JU29
G3V6Q9 P08082
Q9JLS8 Q9JLS8
A0A0G2K199 D3ZL50
G3V926 A0A0H2UHV9
A0A0H2UHH2 Q6X936
D4AB60 D4AB60
A0A0U1RRY7 G3V6J7
Q5M824 M0RB26
F1LS93 A0A0G2K1Z2
P06685 A0A0G2JVH4
G3V735 D4AD35
B0BMW2 B0BMW2
D3ZA38 D3ZA38
P11980 P11980
A0A0G2JYY3 F1M7W9
Q6AXT0 Q6AXT0
M0R567 M0R567
F6PUS4 F6PUS4
Q9JMB3 Q9JMB3
A0A0G2K449 F1LRV1
D4ACQ1 G3V7F3
P35280 D3ZTX0
B1WC83 P63055
Q673L6 Q673L6
D4A648 A0A0G2K427
Q5RKH0 D4A648
E9PT66 E9PT66
O88989 O88989
M0R5V4 A0A0G2K862
A0A0H2UHH2 A0A0H2UHH2
D3ZRJ0 A0A0G2K9M4
A0A0G2JUQ8 D3Z9M1
Q4QQV6 Q4QQV6
A0A0G2KA90 D3ZE01
Q9JJ46 Q6I7R5
F1LSV1 D3ZW24
Q498R3 Q498R3
P20793 P97535
F1M1W4 A0A0G2JTA1
F1LNK2 D4A8C5
B2RZ38 Q9QYJ2
G3V700 Q5U2Y6
G3V6D3 G3V6D3
B2RZ57 A0A0G2JTY4
Q6MG75 Q6MG75
A0A0H2UHT9 A0A0G2K6D6
Q68FX5 Q68FX5
F1MAK7 Q6AXU3
D3ZUW6 D3ZRX9
G3V6S2 G3V6S2
F1M8E7 F1LMQ1
D4A9Y0 F1LXJ9
D3ZQ38 D3ZQ38
D3ZK16 D3ZK16
D4ADS9 D4A520
P23928 P23928
B0K018 F1LW22
M0RC42 D3ZSY4
F1M981 Q5BK59
A4L9P7 F1LS72
D4A8M7 D3ZMY7
Q63073 Q63073
F1LSC5 Q5FVC4
F1M6P8 Q9JK64
Q4V7G1 F1LMK2
F7FF45 Q66H39
F1LW22 F1LW22
P61459 P61459
Q99MA1 D4ABX3
Q5XI44 A0A0G2JXI5
D3ZT85 Q91Z84
P19024 Q924U5
D3ZUD8 F1LWM1
Q9QXQ0 Q9QXQ0
Q4FZS1 B1WC28
D3ZZC1 D3ZZC1
Q3MHU5 Q04906
A0A0H2UHF5 Q71RJ2
P49799 P49799
Q00969 Q00969
D3ZUL8 D3ZUL8
G3V6D2 G3V6D2
D3ZDJ3 D3ZMN4
Q4V8L0 Q4V8L0
D3ZUX5 A4L9P7
F1LXF5 E9PU01
B5DF36 Q3LZI9
O88550 D3ZD84
Q400C9 Q400C9
A0A0G2JTT2 A0A0G2JTT2
D3ZID8 G3V774
D3ZL11 D3ZL11
B1H267 D3ZP45
F1LUA2 D4ACA6
D3ZK34 D3ZK34
D3ZXS8 P52944
Q3T1I3 D3ZS69
Q6Q0N3 D3ZL50
Q6P798 Q4KLM4
A0A0G2JSW0 A0A0G2JXT8
Q2PQA9 F1MAK9
B2GV58 F1MAL5
G3V6K4 M0RCH9
Q920L2 Q920L2
D3ZT56 D4ACS3
Q5FAQ9 D3ZZC5
O88368 G3V981
P26794 D3ZWF4
Q4V7E0 M0R887
A0JPN1 Q5FVI6
D3Z9Z5 Q5XIJ4
A0A096MK18 E9PTB6
P60889 A0JPN1
Q9R237 Q64057
D4A9W0 F1LP04
G3V877 D3ZE26
A0A096UWG9 P97520
A0A0G2JTK6 M0R961
Q66HP6 Q66HP6
A0A0G2JUS6 D4ABY4
Q9R019 P35355
D3ZQL7 B1H222
G3V6S9 A0A0G2K9Y6
D3ZHJ4 D3ZHJ4
Q01134 O35312
F7EUU4 F7EUU4
O88656 O88656
Q5FVQ4 B2GUZ9
Q9R120 Q641Z8
P49088 F1LS72
A1EC95 D4A615
D3ZLS5 D4A8M7
D3ZY89 D3ZY89
A0A0G2K659 A0A0G2K659
B2GUX2 Q63504
B1WBW4 D4ABM3
Q5U2Y6 F1MA98
P04182 F1MAM8
Q6AYK8 A0A0G2K0E0
Q6IFV1 F1M7K4
A0A0H2UHP5 M0RE14
A0A0G2K9F9 A0A0G2K9F9
E9PT13 E9PT13
P07340 Q924S5
A0A0H2UHP0 A0A0H2UHP0
Q6X936 Q5BK59
B5DEP5 A0A0G2K9F2
D4AEC0 D4AEC0
D3ZA31 D3ZA31
A0A0G2K0N1 Q6AYE0
D4ADT5 P35280
A0A0G2K8Q8 A0JPN1
M0R7D0 M0R7D0
A0A0G2K349 A0A0G2K349
D3ZTL2 G3V8T2
A0JPK9 Q63467
P70550 P70550
E9PTF0 Q5M9F1
A0A0G2JWD2 G3V918
Q9JLA3 D3ZBL6
A0A0G2JZ34 A0A0G2JZ34
Q7TPB4 D4A447
D4AC99 D3ZWB2
E9PTB2 E9PTB2
Q4L0E9 P51638
A0A0G2K0Q6 A0A0G2K6D6
P13832 D3ZTL2
D3ZLZ9 G3V7P7
Q4KMA2 Q4KMA2
G3V7K0 Q9WVB9
D3ZMS3 M0R589
G3V926 F1LPP2
F1LNL3 D3ZF86
Q66H56 F1M1W4
Q9Z2J4 P11608
A0JPN1 A0JPN1
D3ZYQ0 F1M311
A0A0G2KA50 A0A0G2KA50
Q4KLM4 Q6P798
Q5U2N1 D3ZI07
A0A0G2K7X7 A0A0G2K7X7
Q4V7E0 Q4V7E0
P62198 P62198
P12392 P12392
Q8CJ99 A0A0G2JXI5
D4AC56 M0R3X4
D3Z9M1 Q6QI44
Q4V8H7 D4A4A8
A0A0G2JXY1 D3ZBH0
Q4KM74 Q4KM74
D4A3J9 F1LPP2
E9PT99 A0A0G2JUM3
D3ZKA2 D3ZKA2
F7EPZ4 F7EPZ4
D3ZTT7 B1H269
Q5I0Q2 B2GUV6
A0A0G2K8Q8 D3ZUJ5
P49088 Q6P7R8
D3ZUJ5 D3ZUJ5
D3ZHV0 Q5U2X1
Q4AE70 Q4AE70
D3ZPY2 D3ZPY2
Q5PQW4 Q6AXW4
A0A0G2K4P0 A0A0G2K4P0
D4A0U9 D4A0U9
F7FF45 P50475
D3ZTM7 D3ZTM7
D4A2G7 Q5U2R0
Q63046 Q3MJK5
Q5BJP1 A0A0G2K5R4
F1LNT5 D3ZB96
Q5PQP9 Q5PQP9
D3ZMY7 D4A6A8
F7EWN2 Q5EB96
Q00728 A0A0G2JTT6
B4F7A3 B4F7A3
Q4FZS1 E9PTG1
D4A615 D4AB26
Q6AYK8 Q6AYK8
P55213 Q5U3Y7
A0A0G2K0E0 M0R623
G3V7R8 G3V7R8
D3ZH31 A0A0G2KB96
P11762 P11762
P11505 Q924S5
G3V9I9 D3ZR53
Q6P6U0 Q5XI31
M0R4L7 F1LQM8
F1LPZ7 F1LPZ7
D3ZDZ0 Q5I0E7
D4A648 Q5EB56
B1WC31 B1WC31
A0A140TAC4 Q6AYE0
G3V672 Q2MCP5
A0A0G2K2S5 P63074
Q5FVN2 M0RBH9
A0A140TAI2 B2RZ38
D4A1F4 D4A1F4
Q6AYE7 Q5BJP1
F1LV52 F1LV52
Q9WTQ6 Q32WR5
D3ZE49 D3ZE49
D4A704 D4A704
G3V9X6 G3V9X6
A0A0G2K494 G3V8I3
F1LRB5 D4A930
Q5U367 Q5U367
D3ZE01 E9PTS7
F1LWZ7 F1LWZ7
D3ZU21 E9PU02
E9PTI6 E9PTI6
Q6AYR1 Q6AYR1
A0A0G2K8T5 Q6MG07
Q63504 A0A0G2K4P0
Q5I0Q2 Q5I0Q2
A0A0G2JZU6 B2RZ60
D3ZYE1 Q66HE8
D3ZWF4 D3ZWF4
G3V6Z8 A0A0G2JXT1
G3V7M0 G3V7M0
Q9Z0V5 A0A0G2K283
P28647 P28647
F1LMK3 D4A2G7
Q6MG08 A0A0G2K0E0
A0A0G2K889 P62501
H9KVE3 H9KVE3
Q5BK68 Q5BK68
A1L1J8 A1L1J8
Q8CGX0 Q8CGX0
D4ACA6 F1M8D5
A0A0G2JSW0 Q5XIK2
D4ACF1 D4AD35
D3ZCX6 D3ZCX6
D3ZSZ1 D3ZSZ1
F7FL00 F7FL00
P55213 P26794
A0A0G2JWV6 M0R493
Q4KLL9 Q4KLL9
Q5PQK4 Q5PQK4
Q2PQA9 D3ZLC1
Q08834 Q08834
A0A0G2JXH7 Q3T1I3
M0R907 M0R907
Q66HA7 O88658
D4A1M1 Q5I0Q2
D3ZI07 Q5U2N1
D4AAK2 Q642B1
A0A0H2UHT3 D3ZEH2
Q6AXY9 Q5EB96
B5DF29 Q4G061
Q0ZFS4 Q0ZFS4
P14173 A0A0G2K4P5
Q5U2R0 Q66HP6
Q63120 Q5XI44
P80432 P80432
G3V6D2 D3ZB96
D3ZWG3 F1LSV1
D3ZFH5 Q02769
P70550 A0A0G2JU29
Q66HA7 D4AAK2
P50475 Q66H39
D4AEC2 B5DF93
P68370 P68370
F1LRK1 F1LRK1
F1LMM5 F1LSG7
Q64319 Q64319
D3ZHR0 D3ZHR0
A0A096MK18 D3Z8X4
Q6AYU9 M0RB24
A0A0G2K9Y6 G3V6S9
A0A0G2K9T1 A0A0G2K9T1
D3ZDS9 D3ZDS9
O70509 F1LSA1
Q5S3S9 A0A0G2JZE8
Q566E4 Q566E4
D4A1C2 D4A1C2
D3ZRE3 D3ZRE3
G3V6K4 D4A8G6
B0BN55 B0BN55
A0A0G2JUU2 A0A0G2JUU2
Q02769 D3ZFH5
M0R3M8 A0A0G2JSZ5
D4A7G2 A0A0H2UHF3
E9PT35 E9PT35
Q6QI44 Q6QI44
D4A0M3 D4A0M3
A0A0G2JU05 Q9QWJ9
A0A0U1RS33 A0A0U1RS33
A1A5S1 A1A5S1
F1LP82 A0A0G2JSW0
B5DFN2 B5DFN2
G3V7F3 F1M963
P97535 P97535
F1M981 A0A0H2UHH2
G3V8G3 Q63511
F1MAK9 B1H269
D3ZF86 F1MAM6
A5HK05 D4A2G4
F1MAM8 P04182
D3ZK25 D3ZK25
O08658 O08658
D3ZFF4 Q6MG27
A0A0H2UHQ0 A0A0H2UHQ0
Q5BK53 P70550
F1LZI7 P0C6P7
F1LQR5 F1M5Q6
F1MAH5 A0A0G2KAM4
Q642B1 Q5BJZ9
D3ZTB4 P52944
A0A0G2KB73 A0A0G2KB73
A0A0A0MXY5 A0A0A0MXY5
M0RC57 Q5M9F1
F1M4P0 F1M6P8
A0A0G2JSJ5 Q63016
E9PT83 A0A0G2JZA4
A0A0G2JXI5 Q5XI44
B1WC28 Q4FZS1
Q9R1T5 B2RZ31
F1LRQ5 D3ZFS1
D3ZSF0 D3ZEN8
P08082 G3V6Q9
F1LPS6 F1LPS6
G3V8T2 P13832
Q925D2 F1LPZ7
G3V8V5 G3V7N1
Q3B7L1 D3ZE01
A0A140TAH1 A0A140TAH1
Q5I0K8 Q4QR75
Q68FR9 Q68FR9
D3ZRX9 D3ZRX9
Q5U2R0 B3DMA5
D3ZIK0 F2Z3S9
A0A0H2UHN1 A0A0H2UHN1
D3ZW33 D3ZW33
D3ZP45 A0A0G2K8Z6
P97520 A0A096UWG9
D3ZNX0 A0A0G2JUJ7
A0A0G2K6D6 A0A0G2K0Q6
Q4VFZ4 D4AE99
Q9Z0H5 Q9Z0H5
A0A0H2UHF5 Q9JJ40
E9PT11 E9PT11
D3ZDS9 Q99MA0
D3ZJ50 D3ZJ50
A0A0G2K2S1 A0A0G2K1V7
F1M943 F1LXJ9
Q5FWT1 Q5FWT1
Q62867 F1MAF8
P08592 P08592
G3V758 G3V758
Q9ER31 Q9ER31
D3ZXJ0 M0RAC2
D3ZEN8 D3ZY49
D4A3C2 M0R589
O35410 P35355
Q5HZA2 O70260
O55162 O55162
D3ZXF8 P49000
A0A0G2JXK1 A0A0G2JXK1
Q6AY58 D3ZI07
D4ABK1 D4ABK1
D4A6K4 Q68A65
Q5U2S1 Q6AYM2
D3ZNG9 D3ZNG9
Q9JMB3 Q642B1
A0A0G2JXG5 A0A0G2JXG5
O88658 D4AAK2
Q9JMA8 Q6X936
F1LRV1 A0A0G2K449
D3ZMW3 D3ZGZ9
G3V641 G3V641
D3ZWF4 F1LNT5
P52164 D4A7U1
D3ZXB1 Q4KM96
A0A0G2K2S5 G3V734
P63055 D3ZU85
A0A0G2KA90 D4ABC4
P63055 B1WC83
G3V6S8 G3V6S8
G3V8V5 F1M0G5
D3ZNX0 D3ZNX0
Q6AY58 E9PU02
Q3L472 Q569D2
Q03114 Q03114
Q9QYW3 Q4QQW1
P63074 P63074
D3ZRX9 D4AED2
Q5I0K8 Q5U2U7
Q5U2X6 F1M853
D4A615 F1LQM8
F1LSK6 D3ZB55
D4ACQ1 D4ACQ1
Q642E3 B0BN30
D4A4Q3 D4A4Q3
P55213 P55213
F1LNY6 F1M8D5
Q5I0Q2 D3ZD84
Q66HP8 Q6IG00
B0K014 Q9QWJ9
Q6P6U0 Q5FVC4
G3V774 B1WBU6
Q6P6R0 D4A4X5
P60711 P60711
F1M1L9 Q5U3Y2
D3ZE01 Q62867
F1LQ83 D4A0W7
D3ZPR2 F1LYG2
D4AC38 D4AC38
D3ZLZ9 D4AED2
A0A0H2UH91 D3ZLZ9
Q5EBA0 G3V9K8
D4A0W7 F1M989
B1H222 B1H222
F1LR42 F1LR42
D3ZN21 A0A0H2UHN1
F1LXJ9 D4A9Y0
O09018 D3ZXM2
D4A510 D4A510
Q6MG07 A0A0G2K8T5
A0A0G2K5H7 D4A5U3
P18422 P18422
B1WBV1 D3ZKA2
D3ZEN8 G3V6V7
F1LQN6 B2RZ60
D4AC99 F1LQM8
D4ADM7 F1LPY6
P19024 P05540
B1H2A2 B1H2A2
D4A704 Q5EB96
F1LWN5 F1LVT0
A0A0H2UHZ0 A0A0H2UHZ0
B0BN64 A0A0G2QC19
Q9WTT7 Q5PQX1
Q641Z8 Q641Z8
D3ZMS1 D3ZMS1
P52944 D3ZEI6
D3ZY49 D3ZEN8
M0R583 A0A0G2K0K6
D3ZWG3 D3ZLB7
O35260 A0A0G2JUJ7
A0A0G2JSV9 D3ZEI6
F1LNB2 F1LNB2
Q68A65 D4A6K4
F1LSV1 D3ZWG3
E9PSY8 F1MAL5
A0A0G2KA59 A0A0G2KA59
A0A0G2K250 D4ABY4
A0A0G2JTA1 Q66H56
A0A0G2JXI1 Q9QWJ9
Q3B7U9 Q3B7U9
D4A4X5 D4A4X5
A0A0G2K250 D3ZUW6
A0A0G2K9M4 D4AEG2
B2RZ60 P18901
Q5PQU0 F1LMK2
D3ZKV7 D3ZKV7
B5DF45 B5DF45
D3ZNQ7 D3ZNQ7
D3ZIM5 Q6AYC5
D4AB26 E9PTB6
P35355 Q9R019
A7M777 F1LLX2
D4ADZ2 A0A0G2JYP2
Q91ZN7 D3ZCS4
D3ZW24 F1LSV1
D3ZXH8 P0C6P7
D4AE99 D4AE99
Q6AXY9 D4A704
A0A0G2K509 Q6IFU9
Q5XI31 Q4KM97
Q5U3Y0 A0A0G2JTY6
G3V6C9 G3V6C9
Q5XI31 Q5XI31
F1LMK3 Q5U2R0
Q62849 Q62849
F7F172 F7F172
A0A0G2K4Q9 A0A0G2K4Q9
F1LRB8 F1LRB8
G3V812 M0R8P3
Q00728 Q00728
Q8K430 Q8K430
F1MAK3 F1MAK3
Q5M9G8 Q5M9G8
P63016 F1LSV1
B1WCA1 B1WCA1
F1M9V7 Q5XHZ9
Q5XI51 Q63486
F1LMW7 M0R567
B5DF09 F1M4U9
B1H244 F1M957
F1M4U9 D4A240
Q6AYC5 D3ZIM5
G3V7N1 Q9QZE9
M0R975 B1H224
Q9JI56 F7F350
Q5XIJ4 D3Z9Z5
F1M8D5 F1M8D5
F1M4M5 F1M4M5
D4AB75 Q7TST9
A0A0G2K4B6 A0A0G2K4B6
D4A349 D4A6T2
O35115 Q5XIN3
Q01714 Q01714
A0A096MJZ2 P26453
Q3B7L1 Q62867
A0A0G2K6E5 P05540
F1LN03 F1LN03
M0R4K3 B1H220
Q6MG14 D4A1J3
B2RYD0 Q64542
F1M5Q3 Q7M0E7
D4A4K3 A0A0G2K463
A0A0G2JY58 A0A0G2JY58
P50503 D3ZR53
A0A140TAD4 D4A9M4
D3ZFS1 F1LRQ5
A0A0G2JU41 A0A0G2JU41
D3ZXM4 Q5FVK8
G3V8T2 G3V8T2
A0A0G2JZE8 Q5S3S9
F1LQZ3 F1LNK0
A0A0G2K2S1 Q6AYD9
P28647 M0R5V4
A0A0G2JV16 B1WBW4
F7FF45 F7FF45
D4A6K4 G3V774
D3ZG43 D3ZG43
Q9QYJ2 F1LRE2
O70454 O70454
D3ZZ62 B4F7E8
H9KVF3 D4ADT5
A0A0G2KA91 G3V6D2
Q6QI44 A0A0G2JUQ8
G3V6Q6 Q5FVQ4
B2RYD8 B2RYD8
Q63504 Q63504
D3ZUL8 Q6AXM7
Q6AXT0 Q9Z0V5
M0RE14 D3ZF86
B5DF36 A0A0G2JSV4
Q6AY58 G3V734
B3DM92 F1LQN6
D4ACF1 D4ACC5
Q64232 D3ZVT2
D4AAV4 F1M6X7
Q5XIB8 P19024
Q4L0E9 Q4L0E9
A0A0G2JU99 A0A0G2JU99
Q62867 F1M9Q8
D4A9B0 D4A9B0
A0A0G2K601 D3ZUU6
D4A240 Q5RKH7
Q5M865 Q5M865
D3ZIA4 D3ZIA4
F1LNP1 F1LNP1
M0R8Z6 M0R8Z6
F1LMM5 Q5PQU0
A0A0G2JXE0 A0A0G2JXE0
F1LSK6 Q3SWT5
Q9Z269 Q9Z269
P26794 Q5U3Y7
A0A0G2JWS3 A0A0G2JWS3
P19024 A0A0G2K6E5
G3V6K6 G3V6K6
P21571 Q5XI44
D3ZKQ3 Q1LZ51
D4A5U3 E9PTS7
A0A0G2K2L0 B2RYG6
A0A0G2K864 E2CWF0
A0A0G2JUG7 D3Z8Q6
D3ZRM3 Q498R1
Q5U3Y7 F1LNT5
P67999 B3DMA5
M0RE14 F1LNL3
B1WBS6 B1WBS6
D3ZXR7 B1WBW7
Q62862 Q62862
P30277 D3ZFT1
D3ZVQ0 D3ZVQ0
Q6AYE0 F1LZ43
D3ZV75 D3ZV75
B1H269 F1MAK9
Q63511 A0A0G2JZU6
F1LNZ5 Q5U1W4
A0A0G2JUG7 F1LW07
O88801 O88801
D3ZJT1 D3ZJT1
A0A0G2K8N1 A0A0G2K8N1
G3V6K3 G3V6K3
M0R6D8 F1LZI7
F1LNK2 D4A6T2
Q6AYJ5 Q6AYJ5
D4A0C5 D4A0C5
A0A0G2KB72 A0A0G2KB72
D3ZY44 D3ZY44
A0A0H2UHH2 F1LWJ6
A0A0H2UHF5 D4AA42
Q5RJZ6 A0A0G2K5F1
B5DF86 B5DF86
D4ABX3 Q9ET58
A0A0G2JVW5 A0A0G2JVW5
M0R715 Q66H39
F1LSM5 D4A0M3
Q505I5 Q66H16
Q924U5 D4A4A8
G3V7Q7 G3V7Q7
D4A0A0 D4A0A0
P35355 D4A898
F1LMM5 P70550
D3ZRM3 Q80Z34
Q3T1I9 F1LST0
B2RZ38 F1LMD6
A0A0G2K601 Q32WR5
Q9QYW0 Q9QYW0
A0A0H2UHU4 Q5M808
A0A0G2KBA2 A0A0G2KBA2
F7FLS6 D4A0M3
Q505J8 Q505J8
B1H222 E2CWF0
G3V774 F1LNP1
A0A0G2JY43 D4A478
A0A0G2JZA4 P10158
Q9QYC6 Q9QYC6
D3Z9I1 D3Z9I1
Q66HP8 A0A0G2K8F2
Q6MGA6 Q6MGA6
P62703 P11507
Q5BK53 Q5PQU0
Q62976 F1LSM5
G3V8S7 G3V8S7
F1M9Q3 G3V689
F1LQN6 A0A0G2JZU6
B2RYL8 B2RYL8
G3V6S9 M0RCA0
Q6AYM2 Q6AYM2
D3ZUW6 A0A0H2UH91
A0A0G2JUH9 A0A0G2JUH9
G3V9N1 F1M9V7
A1L1L6 A1L1L6
Q6MGC7 D3ZR99
B0BN28 B0BN28
P10361 P10361
D4A9M4 M0R3X4
Q4KM96 P56261
A0A0G2K449 A0A0G2K449
Q5XI21 A0A0G2JUQ8
A0A0G2JVH4 A0A0G2JVH4
P18901 Q6P6R0
D3ZNH2 A0A0G2JYN5
Q5S3S9 D3ZYQ0
F1LLX6 B1PLB1
D4AAU4 D4AAU4
A0A0G2JUS6 D3ZUW6
G3V8T4 G3V8T4
D4AD35 D4ACC5
M0R835 A0A0G2K1A9
Q5I0Q2 D4A1M1
Q63016 F1LWM1
F1LR10 F1LR10
Q66H99 Q66H99
F1M7K4 Q6IFU9
D4A930 Q99NA7
G3V700 F1MA98
Q62698 D3ZFX4
D3ZHS0 D3ZS85
F1MA98 F1MA98
Q64542 Q68FS1
A0A096MJZ2 Q3KRE8
D3ZQL7 A0A0G2K864
D3ZD11 B4F762
F1LWJ6 Q6X936
A0A0G2JU29 F1LMK2
B2GV73 Q5BJY9
P18864 P18864
D4A6K4 D4A8G6
Q63511 B3DM92
A0A0G2K9E1 F1MAM6
D4A552 F1LP82
Q9JMB3 Q5BJZ9
P17764 Q9ES73
B2RYD0 B2RYD0
D4A8M7 D4A6A8
P63016 D3ZLB7
P10158 A0A0G2JZA4
A0A0G2JZ04 Q9JI15
A0A0G2K8K2 G3V689
Q5XHZ9 Q5XIT9
G3V932 G3V932
F1LS72 F1LS72
D4AB71 Q5BJP1
Q66H99 A0A0G2JYN5
P08050 F1M155
D4A0M3 F1LSM5
Q56A27 Q56A27
A0A0G2K9B4 Q498C9
P63074 E9PU02
D3ZYV4 Q66H06
F1M9C0 F1M9C0
B5DF29 B5DF29
A0A0G2K1Z2 Q5U2Z2
Q4KLY4 Q4KLY4
