1276+bno7-1627+bno7;1:1,3:0,4:7,5:3,6:6,7:2;2:4	211651,217692,243084,77040,217124,13549,18787,13626,74206,105689	829025,816394,829855,830520,824510,818029,831525,831899,837479,833836
1276+bno4-1325+bno6;0:1,2:4,3:2,4:5,5:3,7:6;	211651,22627,208727,67443,12671,338370,77040,12287,15567,14265	830520,824510,828791,820238,844083,842620,831899,834670,840916,829025
1720+bno4-1720+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	22724,18999,384061,11722,211651,22627,56399,209446	820395,817158,825191,824510,831899,829737,819204,841125
1276+bno3-1276+bno7;2:2,3:1,4:6,5:7,6:0,7:5;	22248,217331,230796,19142,70611,83679,208727,65964,15567,58234	832019,819204,837559,836723,824455,818982,838388,3767664,823916,820732
1627+bno0-1627+bno0;0:0,1:6,2:2,5:5,6:3,7:7;	14784,16590,18675,13626,16591,14182,211651,64654,217124,12929	837131,829208,817813,840916,818494,837733,829025,838178,819204,828791
1276+bno5-1627+bno0;0:6,1:0,2:4,5:5,6:7,7:3;3:1-4:1	15567,58234,208727,225004,230796,19888,20028,83679,14265,271209	819204,844165,838899,837575,826711,817498,838290,832216,831899,817491
1644+bno7-1644+bno7;1:1,2:2,3:3,4:4,5:5,6:6,7:7;0:0	209446,77040,70408,13626,211651,544971,217124,14030,22724	823916,838144,825148,843453,825364,841234,829681,820732,843305
1649+bno7-1649+bno7;1:1,2:2,3:3,4:4,5:5,6:6,7:7;	11537,17762,211651,77040,217124,13626,71835,22627,384061	817158,830520,838300,831899,820956,824767,824510,819204,819847
1276+bno4-1276+bno4;0:0,1:1,2:2,3:3,4:4,6:6,7:7;	77040,230796,13626,14265,193385,232201,217124,231532,15567	830520,820395,817158,832289,831583,828079,819204,819114,835015
1276+bno4-1276+bno7;1:3,2:0,3:1,5:7,6:4;	11537,76722,68349,77040,211651,140491,13626,217124,26380,27221,66580	823916,836163,824956,830520,829025,843646,831899,824510,827159,817423,837440
3783+bno7-3783+bno7;0:7,2:2,3:3,4:4,5:5,6:6;7:0	230796,19934,211651,72938,55978,67042,21821,73916,13626,17984	829208,837131,829025,817813,818494,838079,838178,837733,831899,828791
1276+bno3-1627+bno7;0:4,1:0,3:1,4:6,6:7,7:3;2:5	13626,211651,15567,11537,244667,78287,22627,11426,77040,217124	820395,831521,820233,831899,819881,839662,819204,821576,817158,829597
1276+bno4-1276+bno7;0:4,2:0,3:5,4:2,7:7;	211651,217124,13626,22190,15567,76954,209773,51789,56517,20238,70785	830520,831899,824510,823916,829025,814707,829043,824956,838144,843305,829392
1276+bno7-1627+bno7;1:1,3:0,4:7,5:3,6:6,7:2;	77040,11798,269275,211651,13626,21812,14561,217124,18479,20430	829025,844334,818162,830520,824510,828402,838158,831899,830366,844165
2137+bno0-2137+bno0;0:0,2:2,3:3,4:4,5:5,6:6,7:7;	11537,11828,20911,211651,109880,13626,22627,18806,384061	817158,827367,824077,833836,831899,827302,819204,818892,838300
1276+bno5-1627+bno7;1:6,3:0,4:7,6:1;	208727,22059,50873,16531,13447,77040,217124,20983,13626,22249,16924,20430	818982,842446,816165,838388,829729,817158,819204,837377,824510,824246,829025,831899
1276+bno3-1325+bno6;0:4,2:1,3:2,4:5,5:7,6:0,7:6;1:3	217124,67443,208727,12671,338370,14265,15567,12287,77040	819204,820238,828791,844083,842620,829025,840916,834670,831899
1276+bno5-562+bno4;1:1,2:4,4:3,5:7,6:6,7:5;	11537,13626,224836,20238,211651,22190,24105,22627,72016,16151	840916,824510,817813,828791,831899,837733,838178,829025,829208,818494
1629+bno6-1629+bno6;0:0,2:2,3:3,4:4,5:5,6:6,7:7;	237213,22190,22627,16525,11845,211651,73728,20238,74002	840253,830520,831899,828606,816314,829025,844223,824510,840254
1309+bno6-1627+bno7;0:0,2:6,3:2,4:5,5:3,6:4,7:7;	208727,77040,26445,15567,58234,230796,83679,217124,403183	828287,817158,830144,831899,833836,821248,817175,819204,832820
1276+bno4-1276+bno5;1:3,3:1,4:6,6:4;	230796,208727,217331,83679,11537,83560,71819,22627,22724,18999,12591,209446	831138,818982,838388,831441,817158,836506,819242,819204,829025,844406,825890,840916
1276+bno3-1276+bno5;2:7,3:6,4:5,5:0,7:2;0:4-6:3,4	14810,384061,22627,13626,66438,14788,211651,20111,69568,77040,217124	821787,817158,819204,827159,837809,837440,838388,837279,834246,824510,831899
1276+bno1-1276+bno1;0:0,2:4,3:5,4:2,5:3,7:7;1:1	13626,22385,71846,75740,214704,74075,18491,20957,214669,78911	831899,833836,831621,821248,835728,832820,817175,830144,837131,829208
2300+bno0-2300+bno0;0:0,2:2,3:3,4:4,5:5,6:6,7:7;	214669,214704,211651,77040,217124,22627,13626,78911,105203	839619,821509,835015,824510,830520,819204,832289,824876,825231
1276+bno1-1627+bno6;0:1,3:4,4:3,7:6;1:2	214669,74075,214704,78911,71846,18491,75740,20957,22190,13626,22385,26554	837131,832820,835728,829208,831621,817175,821248,830144,817158,831899,833836,819204
1321+bno4-1321+bno4;0:0,1:1,2:2,4:4,5:5,6:6,7:7;	11537,230796,13626,382985,22627,27354,211651,72584,384061	829710,843603,834350,830278,833756,821915,827597,817323,837559
1276+bno4-1325+bno7;0:1,1:0,2:4,3:2,4:5,5:3,7:6;	217124,208727,15567,67443,12671,338370,77040,12287,14265	838388,840471,819204,837498,832395,824596,823706,828254,831899
1277+bno7-1629+bno3;1:0,2:5,3:6,4:3,5:2,6:7,7:4;	20371,77630,105193,22190,72016,404289,13853,15511,20238	823916,828770,816745,831899,829025,837386,836163,824956,819204
