8057+bno4-8057+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172061,181504,179669,172755,172414,179971,177895,172802	77040,211651,20238,22190,13626,217124,26440,22627
2854+bno4-2854+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	181504,171968,181324,172061,179971,183000,172414,172802	13626,15567,11518,77040,22627,382253,211651,217124
1329+bno5-1635+bno7;1:4,2:1,3:2,4:7,5:6,6:3,7:5;0:0	172802,172408,182638,176138,172414,180804,181064,181504,179971	13626,15567,18846,77040,22627,20358,234214,217124,211651
604+bno3-604+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	181578,175195,178250,171715,175227,181182,178311,179709	15567,11537,77040,208727,17762,66237,22627,14265
1276+bno5-2300+bno0;0:6,3:3,4:5,7:2;	184879,180748,179522,181195,172802,176138,172414,179971,184885,176410,181504,177314	671232,26380,27221,66580,211651,77040,217124,13626,67028,17984,22627,76959
1718+bno1-562+bno5;0:5,2:2,4:1,5:6,7:3;	180864,176138,172760,173070,172061,181504,172802,183865,174090,175535,175796	245684,15567,58234,12877,211651,217124,13626,74108,20238,11820,59026
1276+bno7-1850+bno0;0:4,1:0,3:2,4:6,7:3;	171602,179446,174789,175195,189849,184429,173293,178311,172394,185757,172251	99377,384763,72843,211651,75801,77040,217124,13626,51791,22627,74194
1276+bno5-1276+bno5;1:6,3:3,4:4,5:2,6:5;	178311,177624,174680,179666,181504,172802,176945,184883,179741,191342,177251	208727,22059,16531,16391,77040,217124,12914,15976,211651,13796,12387
1774+bno1-1774+bno1;0:0,1:1,3:3,4:4,5:5,6:6,7:7;	177374,177759,173521,176023,175429,174050,172582,171911,176015	77040,234311,16409,211651,13626,217124,11837,80861,15567
1278+bno3-562+bno3;0:0,2:2,3:5,4:4,5:6,6:1,7:7;	172414,175227,180644,185757,175195,172802,181504,174924,184429	208727,55978,12589,18845,68259,76779,67661,21821,18186
1627+bno6-1627+bno6;2:7,3:3,4:4,5:5,6:6,7:2;	172414,188252,172802,187701,187817,173134,175967,181504,172061,191649	77040,22064,13626,22063,22066,20430,71233,217124,211651,22067
1276+bno5-1276+bno7;0:2,2:0,3:3,4:4,7:7;	3565059,172277,172776,175227,175195,184429,173293,178311,172794,172926,174789	384061,211651,22627,230796,13626,224630,58244,228545,14265,83679,208727
1627+bno6-1627+bno7;0:0,1:1,2:2,3:3,5:5,6:6,7:7;	177334,175195,180465,175227,172706,171722,181484,177701,172233	56469,11537,69083,211651,27385,17984,53315,51810,235180
1276+bno5-2699+bno1;0:1,2:2,3:3,4:4,5:7,6:0,7:6;	173846,172414,175275,172061,172802,176874,176736,181504,176138	244667,14265,14800,13626,217124,229759,56177,15567,665113
1276+bno6-1276+bno7;0:3,1:6,3:0,4:7,6:1,7:4;	178250,266820,175227,180695,185757,175195,173078,178311,172074,178491	58234,83814,77040,12475,211651,13626,14745,217124,71950,21898
1276+bno6-1276+bno7;1:1,3:3,4:4,5:5,6:6;	176138,177497,181504,259844,172061,172802,181041,178791,174090,180208,174309	77040,17756,217124,270190,211651,13626,319757,21844,209446,75410,71950
1309+bno2-1309+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172414,175195,172703,172802,173656,181578,174317,181504	20238,15567,211651,68731,77040,13626,217124,237943
1774+bno2-1774+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	177374,173347,172414,172061,172802,181504,172743,176814	230796,12606,211651,77040,217124,13626,19045,53380
2348+bno3-2348+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	177374,178068,174090,172802,172061,179971,175628,176401	230796,260305,15567,77040,22627,217124,58234,20318
4229+bno6-4229+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	176138,173846,172802,172944,172061,180692,179971,181504	211651,330286,217124,56784,216439,244668,15567,13626
1276+bno7-1627+bno5;1:2,2:3,4:1,5:4,6:5,7:6;	172061,176138,176023,172499,181504,172698,173459,172802,174050,175429	211651,77040,620631,73668,217124,76568,21821,13626,18845,68259
1309+bno5-1627+bno5;0:0,1:3,2:1,3:2,4:5,6:4,7:7;	178311,172802,184201,175195,172414,176138,171602,181504,185757	17762,20371,22190,22627,74222,18952,21841,14462,20238
2798+bno4-2798+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172414,175991,175275,172061,172802,185532,176138,181504	211651,66143,217124,22724,209446,77040,13626,11837
1633+bno4-1633+bno4;0:0,2:2,3:3,4:4,5:5,7:7;	185757,175195,178250,178491,174317,175227,172807,180819,172703,181578	71854,75410,22724,22627,71950,13626,211651,209446,71861,50754
1276+bno0-1276+bno0;0:0,2:4,3:5,4:2,5:3,7:7;1:1-6:6	178311,175195,173959,260266,189785,175855,179631,179666,175227,177701	13626,217124,244237,22031,20238,22190,15567,108086,211651,22627
1276+bno6-1276+bno6;0:0,3:3,4:4,7:7;2:2	179876,4926960,181153,177111,175227,185757,175195,174317,173846,181578,179946,3565253	75914,58234,260305,244585,77040,211651,13626,217124,76080,51791,238055,11808
1720+bno5-1720+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	173846,173278,172061,176138,181504,172802,172414,176195	11537,211651,22724,20926,71950,209446,13626,22627
1276+bno0-1276+bno5;0:1,1:7,5:3,6:4;	181030,175227,179709,180456,171657,172802,172414,181504,172061,176946,178203,3565105	15227,22724,209446,104806,100040608,217124,211651,13626,77040,15567,14800,244723
1627+bno7-1631+bno0;1:0,2:1,3:4,4:3,5:6,6:7;	174050,175429,171712,176023,353452,173042,178096,184245,172498,3565514	217124,216439,192232,20779,18457,94245,13196,232946,17828,117197
1309+bno4-1718+bno7;0:5,3:6,4:3,7:4;	181578,173846,180769,178272,172802,172414,176138,181504,178311,179051,172061,180845	66871,20238,22190,11804,22724,71950,18999,209446,77040,13626,66905,217124
1276+bno7-1629+bno7;1:1,3:5,4:2,5:3,6:6;7:7	185757,177343,175545,182398,172703,181578,175765,181298,175227,174269,174317	20238,68572,27425,107765,211651,13626,216001,12335,77040,226180,217124
1276+bno0-1278+bno0;0:0,1:1,2:2,3:3,4:4,5:5,6:6;	174317,175946,184429,175227,172703,181578,178311,173293,175783	29810,22122,77040,211651,22190,20238,13626,217124,229363
1321+bno0-604+bno6;0:1,1:2,2:5,4:0,5:4,6:7,7:6;	172703,174914,180603,178311,181578,175227,179709,173058,178250	211651,13483,51791,14265,13626,15567,217124,16498,77040
1276+bno6-2300+bno0;0:6,1:5,3:0,4:7,7:1;6:4	182923,175517,176195,172414,172802,192064,180628,180919,181504,172061,179971	13131,260305,58234,211651,217124,21844,270190,13641,13626,77040,22627
3783+bno7-3783+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6;	172802,181504,179971,171769,176023,175397,175429,175716,172414	11537,22627,76893,14262,226564,14263,55990,71519,384061
