1276+bno0-1627+bno6;0:1,1:0,3:4,4:3,6:7,7:6;	360658,59109,83519,307594,192254,116692,50522,79121,290364,29495	827641,838300,844224,817158,834224,832019,819204,843403,831899,833836
1647+bno7-1647+bno7;1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,500985,24392,25738,24586,290364,81504,50522,499417	817158,838388,830520,829025,831899,824510,834767,819204,838300
1309+bno7-1627+bno6;0:0,2:6,3:2,4:5,5:3,6:4,7:7;	29376,290364,84607,307594,25467,252971,24514,50522,83681	823916,817158,816192,831899,833836,839517,839568,819204,828770
1718+bno7-6418+bno1;1:5,2:0,3:3,4:2,5:7,6:4,7:1;	114027,290364,24370,29477,25591,362533,25400,24392,50522	817158,826479,837377,829025,824246,829729,820335,819204,831899
1627+bno6-2300+bno1;1:0,2:5,3:1,4:6,5:4,6:7,7:3;	114027,684112,50522,78975,117287,290364,310615,24392,29219	817158,838290,831899,826711,832216,844165,817498,819204,838899
1276+bno1-1627+bno6;0:1,1:7,2:3,5:4,6:5,7:6;	25235,83681,89829,50522,252971,24514,25467,84607,290364,307594	835728,832820,831621,819204,821248,817175,833836,830144,817158,831899
1627+bno2-1627+bno3;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	25026,114027,58965,290364,25716,24241,24392,25029	824355,823916,821037,825364,841234,823492,820732,832245
1646+bno6-1646+bno6;1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,29477,290364,58983,29715,24392,116590,50522,499417	838300,817158,830520,842311,831899,824510,822465,819204,819847
1623+bno7-1639+bno6;0:0,1:6,3:4,6:3,7:7;	59293,29627,83823,499417,114027,290364,24392,50522,59318,307594,84353	3767694,817562,815840,829025,830520,833836,824510,831899,827827,3768815,830986
1276+bno1-1276+bno1;0:0,2:2,3:3,4:4,5:5,7:7;1:1-6:1	290364,84353,84577,297893,24252,84578,308212,60563,50522,24680	843305,820732,829729,829880,824557,827996,838144,834607,831138,829392
1276+bno3-1276+bno3;0:0,2:2,3:3,4:4,5:5,7:7;1:1,6	50522,84353,84578,297893,444985,84577,308212,60563,24392,24680	831899,834602,817480,839517,817482,830493,828623,817484,833836,827302
1276+bno1-1276+bno1;0:0,2:4,3:5,4:2,5:3,7:7;1:1	50522,24680,84577,297893,24252,84578,308212,60563,499417,301442	831899,833836,831621,821248,835728,832820,817175,830144,837131,829208
1276+bno0-1276+bno3;0:4,1:1,2:2,4:0,5:5,7:7;	24252,24680,84577,50522,297893,84578,308212,60563,444985,84353	823492,827091,838724,819204,833756,832245,829710,820979,827643,835015
562+bno3-562+bno3;0:0,2:2,3:3,4:4,5:5,6:6,7:7;	307594,114027,290364,65248,287702,83803,50522,24392,499417	831899,820395,817158,839780,820233,818503,819204,829597,838300
1276+bno7-2300+bno1;1:0,2:6,4:3,5:1,6:7,7:4;0:5	84353,114027,684112,117287,24392,78975,310615,290364,29219,50522	829025,830520,821469,818879,824510,829557,826653,831899,830299,814652
1276+bno5-1627+bno7;1:6,3:0,4:7,6:1;	116590,25591,301164,29477,170915,307594,50522,24840,24392,24790,500538,29715	818982,842446,816165,838388,829729,817158,819204,837377,824510,824246,829025,831899
1276+bno0-1627+bno7;0:1,1:0,3:4,4:3,6:7,7:6;5:2	360818,54241,25139,307594,29414,89816,50522,361512,29477,361677	832289,830520,834061,817158,838899,817170,819204,841247,824510,831899
1276+bno0-1276+bno0;0:0,2:4,3:5,4:2,5:3,7:7;1:1	50522,24680,84577,297893,24252,84578,308212,60563,499417,301442	831899,833836,831621,821248,835728,832820,817175,830144,837131,829208
