1631+bno4-2699+bno7;0:4,2:1,3:7,4:2,5:5,7:6;	175227,178311,174437,177141,175195,179631,185183,174102,185757,178012	40378,42034,34420,33139,41709,117332,42862,40201,41957,31364
1629+bno2-1629+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172414,174317,172802,172703,173309,172061,181578,181504	40378,31364,41709,37216,37788,41957,42761,42034
1276+bno0-1276+bno6;1:4,2:5,5:2,6:7;	179025,172414,176138,173309,175195,172703,181578,174317,175227,178491,185757,179049	35281,33721,43386,36232,40201,35851,43767,34420,31364,35303,33139,31667
1276+bno5-1627+bno7;0:0,1:1,2:4,5:3,6:6;	185757,175195,175133,175227,172644,175959,178268,175388,178250,266820,179709	40378,42034,39764,31364,33228,2768718,31767,37384,43532,30975,42761
1365+bno5-1365+bno5;0:0,1:1,3:3,4:4,5:5,6:6,7:7;	175195,173846,172802,176138,172414,177701,181504,179971,175227	41709,30977,33418,50320,5740816,35098,42512,43386,34420
2699+bno5-2699+bno5;0:0,1:1,2:2,4:4,5:5,6:6,7:7;	175195,172703,174874,179709,178311,266820,178250,181578,173293	31364,41957,41087,42034,34420,40378,40830,41709,40201
1627+bno2-1719+bno2;0:0,2:1,3:5,4:4,5:6,6:2,7:7;	176138,172498,353452,176023,178096,173042,175716,190181,180208	42034,32979,44861,41087,42761,31364,40378,35680,34420
1276+bno0-1276+bno6;0:1,1:4,2:5,5:2,6:7;	172802,175085,171951,185299,175195,180819,178250,178311,175227,185757,3565059	33139,42862,38173,39690,40378,43580,2768677,42034,41709,41087,42834
1276+bno6-1276+bno7;0:3,1:5,5:1,6:6;	175917,181578,179709,174951,172414,191174,186939,179876,172061,179040,181504,172802	41709,43580,2768677,42034,40378,31500,41957,33675,31364,34816,41087,42761
1627+bno0-1627+bno0;0:0,2:2,4:4,5:5,7:7;6:3	185757,178311,175195,188506,172737,175227,187528,172374,172703,174317,181578	31248,43386,33721,41473,2768670,33418,42512,33125,40378,49297,41087
1627+bno0-1631+bno3;1:0,3:4,4:3,5:6,6:7,7:1;	171957,176138,174090,172061,172802,181504,172943,172414,171889,175455	318161,34420,41709,40378,41087,42761,42034,31364,318095,31429
1718+bno1-2212+bno0;1:7,3:5,4:3,6:4,7:0;	173751,176138,172414,177251,172061,179971,172802,176945,179741,176071,172939	33228,33139,40201,34304,42761,34420,31364,37384,37344,36748,32268
1276+bno7-1627+bno7;0:2,1:1,3:3,4:4,7:5;	178015,174792,176931,172061,183109,176138,181504,172802,173846,171646,179971	43767,35851,40999,31364,41842,33139,40201,34420,41087,35119,42761
1276+bno0-1278+bno0;0:0,1:1,2:2,3:3,4:4,5:5,6:6;	174317,175946,184429,175227,172703,181578,178311,173293,175783	32007,33754,33139,31364,40378,41087,34420,40201,37238
1718+bno0-1718+bno0;0:0,1:1,2:2,3:3,4:4,5:5,6:6;7:7	185352,178539,4927009,172061,176138,181504,172802,172414,187037	37810,40983,48581,42034,42761,41087,40378,44432,40723
1276+bno6-1278+bno4;0:1,3:2,4:5,7:6;	172703,178250,176189,181578,175227,185757,175195,178311,173846,176150,177989,171647	32504,43767,35851,34469,31364,33139,40201,34420,32919,34489,35955,37528
1276+bno6-1718+bno0;0:2,3:6,4:4,7:5;	173621,172234,172156,186579,175195,184429,173293,178311,186588,172981,176449,174332	39943,35098,37957,42830,31364,33139,40201,34420,39945,38937,42862,42239
4113+bno4-4113+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172703,184429,176617,175195,178311,185757,173293,181578	42034,34420,41087,34500,44432,31364,42761,40378
1276+bno5-1276+bno5;0:3,1:1,6:6,7:4;	175227,185757,175195,185268,181578,189693,177800,174317,178250,181704,191170,180819	43767,33139,40201,3772180,31364,32610,36481,34420,32979,34192,34934,31816
1276+bno0-1276+bno7;0:1,1:0,2:5,5:2,6:7;	172802,175085,171951,185299,175195,180819,178250,178311,184429,173293,3565059	33139,42862,38173,39690,41709,43580,2768677,42034,41087,40378,42834
1276+bno5-1276+bno5;1:6,3:4,4:3,6:1;	181578,180997,180896,178272,175565,172414,176138,178878,172802,171923,175161,179971	33139,32629,41503,38983,48339,42034,41709,48337,41087,40966,41920,40378
1309+bno3-1627+bno3;0:0,1:3,2:1,3:2,4:5,6:4,7:7;	172414,181728,174437,181504,182446,175350,178501,177594,178012	34309,40279,43580,34420,318794,40689,43378,40690,2768677
1276+bno3-1276+bno7;1:3,2:2,4:6,5:7,6:4,7:5;3:1	176556,183464,175922,174316,174691,175916,178867,177377,172802,187164	43183,34442,41087,32323,41834,42034,40378,41600,41709,37926
1276+bno5-1276+bno5;0:3,3:0,4:7,7:4;	3896821,181697,180176,180009,176138,172802,179971,172414,3896822,174090,175904,177403	43767,37334,33319,3772180,43580,40378,42034,2768677,37337,41709,41957,45396
1276+bno5-1629+bno5;1:6,2:7,6:1,7:2;	175195,172703,181578,3565703,181552,180819,177816,174317,178250,172429,187528,175227	31364,33139,40201,42930,41503,31816,59240,34420,32979,32629,35851,43767
1276+bno5-2699+bno1;0:1,2:2,3:3,4:4,5:7,6:0,7:6;	173846,172414,175275,172061,172802,176874,176736,181504,176138	38656,31364,251466,33139,40201,31600,32145,34420,42761
1276+bno5-1276+bno5;1:6,3:4,4:7,6:1,7:2;	177374,175429,177786,172637,176138,176015,172186,174050,172802,172414,177962	32979,35851,32629,59240,40201,34420,41503,31816,31364,33139,42930
1327+bno5-1327+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	174090,172061,176138,172429,176559,181504,172802,173873	40378,42433,41957,2768677,43580,41709,38159,42034
1276+bno5-1627+bno7;0:5,1:1,4:0,6:6,7:7;	172264,176138,177233,172802,184759,172414,183139,179971,172061,179741,174800	36748,40378,33458,31364,34761,41087,43222,42761,34420,32152,36491
1633+bno5-1633+bno5;0:0,2:2,3:3,4:4,5:5,6:6,7:7;1:1	172414,172703,175660,178272,174881,174979,176138,181578,181504	31364,32919,33721,40201,33139,31248,34420,36365,42761
1309+bno4-1627+bno4;0:0,3:2,4:5,5:3,6:4,7:7;	177374,175195,172802,172414,176138,174317,180111,181504,172703,181578	32919,41709,31364,3355064,3354896,42034,34119,36286,41087,40378
1642+bno7-1734+bno7;0:0,2:2,3:6,4:4,5:5,6:1,7:7;	172061,174090,178732,181504,172414,175836,172802,176718,176138	31364,41087,36748,40201,42862,45655,34420,42761,33139
1719+bno3-1719+bno6;0:5,1:3,3:1,4:7,5:0,6:6,7:4;	172061,181578,174124,176138,181504,172802,172414,176361,172703	33139,40378,44432,31364,34420,40201,42761,41087,42034
1718+bno7-2699+bno0;1:4,2:0,3:5,4:2,5:7,6:6;	185757,179677,177698,186791,182753,185428,181865,3565447,172317,3565590	40378,42034,2768677,33090,40657,33212,44446,32268,36748,43580
1330+bno7-1398+bno0;0:5,1:1,3:3,4:4,5:0,6:7,7:6;	174792,172414,173846,172061,172802,178381,176195,179971,176138	45928,41087,37216,31364,34420,36426,3355144,42761,40378
1276+bno5-1631+bno5;1:1,3:2,4:5,6:6;	181578,180781,172021,178272,3565842,172414,176138,181471,172802,176526,175275,181504	31248,35851,31826,43767,40562,31364,34420,36425,41087,40877,43532,42761
1276+bno7-1774+bno0;0:3,1:7,3:2,4:5,6:0,7:4;	177906,177971,172061,178403,172414,181504,179316,172802,3565170,176011	2768677,35478,41709,36246,41087,40378,43434,42034,33944,2768981
1277+bno4-1629+bno6;0:3,1:0,2:5,5:2,6:7,7:4;	172489,182136,178250,172703,175227,174317,181578,179709,172496,173449	41957,41709,40378,32919,43439,3354896,34119,42034,44432,41087
1276+bno3-1276+bno5;1:3,2:2,3:1,5:7,6:4;7:5	180819,172429,187528,184429,175227,172524,178311,173293,175195,171722,172873	33139,31310,43594,41087,41709,31474,42034,40378,2768677,41957,33675
1276+bno0-1276+bno6;0:1,1:7,5:3,6:4;	175879,184429,185757,176608,179413,181504,172061,172802,172414,175275,172737,179358	44432,43767,35851,45680,41621,42034,41087,40378,41709,34119,318847,41295
2820+bno4-2820+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	174090,181504,172061,177853,178346,172802,177583,179971	37216,40378,44432,42907,41162,41087,33981,42761
1276+bno5-1734+bno6;0:1,1:3,2:2,5:5,6:4,7:7;	172703,181578,175195,176161,180819,177374,172679,174317,175227,185757	41709,41957,37216,31364,33139,40201,34420,43359,43580,42761
1276+bno7-1627+bno7;1:6,2:5,4:0,5:4,6:3,7:7;	175227,172703,175620,266820,181578,171652,172027,179709,174793,178250	2768677,33139,41547,31364,40201,36491,36626,34420,41638,42761
1278+bno5-1718+bno1;1:7,2:3,3:2,4:5,5:6,6:1,7:4;	175227,172027,178250,172703,181578,266820,171652,179709,175620	43580,41742,32268,40378,42034,31217,33942,2768677,2768688
1311+bno4-1321+bno4;0:0,1:4,2:2,4:1,5:5,6:6,7:7;	176138,172802,178250,173327,172414,177224,177084,181504,178311	41087,30977,2768677,41957,40378,41709,42034,42144,43580
6253+bno5-6253+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172802,176138,171889,175455,172943,172414,179971,172061	31364,40378,33139,40201,41343,41087,42761,34420
1276+bno3-1276+bno7;1:4,3:6,4:1,6:3;5:7	177374,172414,181504,180010,172061,180446,174657,172802,174090,179670,176112,176071	33139,2768677,42034,43793,41087,49424,38956,40378,31364,41166,41746,35422
1276+bno6-1276+bno7;0:0,1:6,3:3,4:4,6:1,7:7;2:2	179941,175712,175227,172718,172703,181578,180449,179709,173744,177629	37292,40104,31364,31991,33139,40201,41847,34420,34754,36383
1276+bno4-1276+bno5;0:0,1:2,2:1,5:6,6:5;	172703,181578,174317,175195,178250,179677,179695,177046,184429,173293,178311	32594,31773,36390,43580,41087,41709,42034,40378,32601,37065,37580
1276+bno7-1629+bno6;1:0,2:5,5:2,6:7;0:4-7:4	174090,173421,180245,180748,176138,172061,172802,181504,173415,172250,172693,181034	37216,45247,31364,42761,41709,41087,40378,42034,44819,33034,31022,36015
1276+bno5-1629+bno7;0:0,1:1,2:4,4:2,5:3,6:6,7:7;	172061,172414,174531,171934,172802,178771,190780,181504,171766	41709,41087,34132,40966,42034,41226,37901,40378,2768677
1276+bno5-1276+bno6;1:1,4:4,5:5,6:6;0:3-3:3	172802,175751,176138,181324,172142,172414,176388,172963,172703,178154,181504,175956	31816,46415,42761,39651,37358,31364,42689,37357,43580,41853,34420,49297
1742+bno4-1742+bno5;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	178250,175195,175227,173293,176449,191167,185757,178311	33721,326208,43767,33139,40201,34420,42862,31248
1309+bno2-562+bno6;0:1,2:3,3:2,4:7,5:5,6:4,7:6;	175227,3565059,172703,353391,174951,181578,179709,175917,172414	41709,42453,41087,42881,34119,40378,42034,41703,32919
1276+bno5-1276+bno5;1:6,3:0,4:7,6:1,7:2;	177374,175429,177786,172637,172802,176015,172186,174050,172414,176138,177962	32979,35851,32629,59240,31364,34420,41503,31816,33139,40201,42930
1627+bno4-4067+bno6;0:2,2:1,3:7,4:3,5:5,6:0,7:6;	172703,172802,172414,179709,174371,176138,181578,181504,172061	42761,43580,41957,40378,42034,41709,41087,42828,2768677
4113+bno4-4113+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172703,184429,176617,175195,178311,185757,173293,181578	42034,34420,41087,34500,44432,31364,42761,40378
1276+bno7-1627+bno0;0:3,3:7,4:5,7:4;	181198,177617,189240,181427,172061,172414,181504,172802,181202,174090,176138,172943	37946,31816,34192,38871,42761,33139,40201,34420,37948,40378,42862,41087
1309+bno6-1774+bno1;0:2,2:0,3:4,4:6,5:7,6:1,7:5;	174437,172414,179841,172802,176011,173431,173260,181504,172061	36748,41709,35218,40378,33529,40909,41094,42034,41087
1276+bno5-1276+bno7;1:5,3:0,5:1,6:6;	172061,179040,181504,172802,186939,172414,191174,179876,175917,181578,179709,174951	31364,34816,41087,42761,41957,40378,31500,33675,41709,43580,2768677,42034
1718+bno0-1718+bno7;0:2,2:7,3:3,4:6,5:1,6:4;	177342,177046,172957,172061,176138,181504,172802,172414,172943,179333	40201,42862,59172,40378,31364,42761,41087,34420,42034,33203
1276+bno5-1623+bno5;0:1,1:2,2:3,5:4,6:5,7:6;	176138,172414,172802,172180,177442,176338,173304,179971,174964,173846	40378,42034,31364,43766,33019,40179,36775,35422,32979,31816
1277+bno5-1629+bno4;0:3,1:0,2:5,5:2,6:7,7:4;3:1	174317,180819,172679,176023,176301,186376,174482,177374,175195,185757	42034,41709,44432,31364,33139,40201,34420,37995,40378,41087
1276+bno5-1276+bno7;1:2,2:1,5:6,6:5;3:0	177374,175195,185757,172679,178614,174049,173717,174589,178311,172414,176138,177203	32919,42034,41709,32537,31364,37325,38762,32785,2768677,33139,40201,34420
1627+bno3-1850+bno7;0:4,2:2,3:7,4:1,5:6,6:0,7:5;	175195,172802,176138,181578,172703,173309,174317,181504,172061	41087,34420,41225,42034,41709,31521,40378,31364,40201
4113+bno5-4113+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	172703,184429,176617,175195,178311,185757,173293,181578	42034,34420,41087,34500,44432,31364,42761,40378
1718+bno0-1718+bno0;2:2,3:3,4:4,5:5;	172222,175244,171696,186892,172061,172414,181504,172802,172241,177203,176138,178614	34654,31369,42761,42574,33139,31364,34420,40201,34681,326246,37238,31078
1629+bno5-2300+bno2;1:0,2:5,3:1,4:6,5:4,6:7,7:2;	175227,173846,173293,171607,175195,185757,178860,178311,176449	33139,32740,34420,31169,31521,31364,41993,40201,42761
1278+bno7-1627+bno7;0:5,3:6,4:3,7:4;	177374,176023,175429,174050,172805,176435,182578,172832,172802,186447,176138,181504	33721,42862,33139,31248,34420,31782,36854,40201,41087,35851,31364,42761
1309+bno7-1774+bno7;0:0,1:3,2:2,4:1,5:5,6:6,7:7;	179971,181504,176023,174765,172061,174630,172969,172802,175429	31364,41087,33139,42202,34420,31943,40201,42761,42862
1276+bno5-1276+bno7;0:3,1:1,3:0,4:7,7:4;	175275,259626,4927056,172414,179721,172061,172802,181504,179959,181450,186785	41709,41957,35540,40378,40429,43580,2768677,42034,32268,32979,32504
1277+bno6-1629+bno0;0:3,1:0,2:5,5:2,6:7,7:4;	172703,181578,175195,177704,175227,171722,175792,174317,184429,185757	44432,41087,42034,32177,40966,38700,42390,40378,41957,41709
1276+bno7-1718+bno0;1:6,2:0,5:7,6:1;	185757,172703,181578,175545,172802,181999,175395,176758,176138,172061,179971,172414	32919,40378,42034,34119,31364,35649,40232,36491,33139,42761,34420,40201
1629+bno7-1850+bno1;1:0,2:4,3:1,4:6,5:3,6:7,7:5;	172802,266652,172414,178732,172401,176138,178638,179971,174090	40378,33775,41709,50374,49816,41957,38287,42034,2768677
1276+bno5-1276+bno6;0:0,1:1,3:4,4:3,5:5,6:6;	173347,172743,172802,259571,172414,176138,177073,178383,172264,179971	38017,33214,43580,32844,42034,41709,42816,38631,32268,2768677
1309+bno6-1309+bno7;0:0,2:5,3:4,4:3,5:2,7:7;	172703,175956,172802,174642,176138,172414,171801,181504,175195,172881	44289,34685,41087,36642,34420,31364,36688,42761,41957,36545
1718+bno6-1719+bno6;1:5,2:0,3:3,4:6,5:7,6:4,7:2;	172703,3565732,172802,178160,172414,181504,178181,176453,176138	42034,41087,32919,31364,34420,47998,42761,40378,40201
1276+bno7-1627+bno6;0:2,1:1,5:3,6:6;	175395,172943,175922,176758,172802,173146,180768,175223,172414,180022,178640,181504	49228,43580,36321,32323,42034,42079,44703,42540,41087,48317,42037,40378
1276+bno7-1276+bno7;0:3,1:5,5:1,6:6;	175917,181578,179709,174951,172414,191174,186939,179876,172061,179040,181504,172802	41709,43580,2768677,42034,40378,31500,41957,33675,31364,34816,41087,42761
