1276+bno5-1276+bno7;1:5,3:0,4:7,5:1,6:6;	172061,189785,172074,260266,185757,175195,175855,179666,179631,175227,178311	829025,824120,826569,838258,819204,838388,816196,821011,829614,820732,818982
1276+bno3-1276+bno3;0:0,2:2,3:3,4:4,7:7;6:1,6	172061,176758,172802,182684,190424,259401,182921,177737,181504,178615,178640	819204,829025,840916,841283,835279,821391,824867,829263,827159,834477,828668
1276+bno3-1276+bno4;0:2,2:0,3:3,4:4,7:7;1:1-6:1	172061,176434,172802,176221,174095,187234,179776,179071,179971,178028,171923	843305,831518,820732,821096,822420,842986,838786,841407,823916,825835,821339
1627+bno0-1718+bno0;0:0,1:4,5:1,6:5,7:7;	182191,174309,180208,259844,181504,181041,172802,178791,172061,172414,177497	829854,817158,822207,831215,831899,839870,819204,828391,838300,829025,820335
2300+bno0-2300+bno0;0:0,1:1,2:2,3:3,4:4,5:5,6:6;	176736,178248,173846,172802,176138,172414,181504,179971,181250	816104,821509,839619,835015,824510,830520,819204,832289,831114
1276+bno0-1276+bno0;0:0,2:4,3:5,4:2,7:7;6:3	173293,177203,178311,183891,178614,175845,189707,178940,171619,178507,185264	817158,835015,819204,819177,832289,828287,839315,820223,829025,830520,830019
1276+bno3-1276+bno3;0:0,2:4,3:5,4:2,5:3,7:7;1:1	178311,175195,176023,179779,177374,174050,177107,175429,178250,180819	827827,820395,823916,818561,831899,829025,827127,824956,817158,819204
1276+bno0-2212+bno0;0:0,2:1,3:3,4:4,5:6,6:2,7:7;	172061,181038,173346,176138,172414,179670,176071,172514,181504	819204,835437,833756,836086,836699,829710,835015,843258,827827
1718+bno7-2348+bno1;1:3,2:7,3:2,4:6,5:1,6:5;	176138,181504,172802,181817,174090,180748,177629,179971,176830,172061	827827,830520,824510,838555,829025,820335,821870,831899,822420,826479
1631+bno7-1718+bno7;1:3,3:1,4:7,6:6,7:0;	172414,172061,172943,176023,176239,174090,178096,179971,177374,175429,174050	838300,830520,824510,839442,829022,831899,827314,819204,823916,839938,824956
1276+bno7-1627+bno7;1:1,3:0,4:7,7:2;0:5	172061,180880,171996,182577,177002,172414,181504,172802,172775,172910,172743,3564805	829025,828151,827500,829913,844417,830520,824510,831899,835156,832291,831756,825025
