2661+bno6-2661+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,114027,290364,309126,308690,24392,83765,50522	2539560,2539958,2540398,2543058,2540838,2540291,2543208,2542173
1276+bno4-1276+bno5;2:2,3:1,4:6,5:7,6:0,7:5;	89829,25489,252971,25235,83681,24514,29376,84607,307594,25467	3361532,2540291,2541203,2542388,2541473,2541735,2539958,2540635,2539560,2541531
1276+bno5-1629+bno6;0:5,2:3,3:0,4:7,5:6,6:1,7:4;	297893,314856,24252,299331,499417,84578,60563,301442,50522	2540984,2540927,3361521,2539560,2541531,2539409,2543483,2540718,2541143
1276+bno2-1627+bno6;0:1,1:7,2:3,5:4,6:5,7:6;	25235,83681,89829,50522,252971,24514,25467,84607,290364,307594	2542161,2541514,2542380,2541143,2539980,2539950,2540398,2543143,2541531,2542173
1311+bno5-1311+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,65248,117274,24392,290364,25149,25737,50522	2541531,2542161,2540398,2541956,2539728,2542173,2539928,2539560
1276+bno3-1276+bno3;0:0,2:2,3:3,4:4,5:5,7:7;6:1	307594,50522,24516,140941,360820,287942,29219,116554,290364,117287	2539560,2541531,2543058,2539481,2542388,2539016,2543042,2541599,2541143,2540927
1276+bno5-2300+bno1;1:0,2:6,3:3,4:5,5:1,6:7,7:2;	83803,684112,24954,290364,84353,78975,310615,65248,50522	2541531,2540744,2541213,2540398,2542173,2540244,2539995,2539560,2541813
1627+bno7-2348+bno1;0:3,2:2,3:7,4:1,5:6,6:0,7:5;	29414,24392,307594,361512,360818,84353,89816,50522,290364	2540560,2540398,2539560,2541674,2539047,2542744,2543546,2542173,2541143
1627+bno7-1627+bno7;0:0,1:1,2:2,3:3,5:5,6:6,7:7;	308212,307594,84578,24392,297893,24680,60563,50522,500666	2542358,2541531,2541587,2542173,2538959,2540398,2540802,2541143,2539164
1627+bno2-1627+bno2;0:0,1:1,2:2,4:4,5:5,6:6,7:7;3:3	29477,64896,307594,81673,25591,54244,50522,24253,25400	2540398,2542161,2539560,2540281,2542358,2541585,2542173,2539914,2541813
1709+bno5-1709+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,116590,24392,25591,25400,290364,29477,50522	2539560,2543058,2540398,2541998,2539847,2541143,2542222,2542173
1276+bno5-2300+bno0;1:0,2:6,3:3,4:5,5:1,6:7,7:2;	83803,315649,24954,290364,84353,78975,310615,65248,50522	2541531,9406926,2541213,2540398,2542173,2543629,2541052,2539560,2541813
1311+bno4-1311+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,65248,117274,24392,290364,25149,25737,50522	2541531,2542161,2540398,2541956,2539728,2542173,2539928,2539560
1276+bno2-1276+bno2;0:0,2:2,3:3,4:4,5:5,6:6,7:7;1:1	50522,89829,252971,25235,83681,24514,25467,84607,307594	2542173,2542380,2539980,2542161,2541514,2539950,2540398,2543143,2541143
1627+bno0-1627+bno0;0:0,2:2,3:3,4:4,5:5,7:7;6:1,6	307594,50522,64896,81673,25400,25591,54244,24253,24392,290364	2539560,2542173,2540277,2539219,2542222,2543058,2542615,2543187,2541143,2539847
1628+bno6-1628+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,116590,290364,171574,114027,24392,29477,50522	2539560,2542161,2541143,2539644,3361487,2540398,2539928,2542173
1311+bno5-1311+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,65248,117274,24392,290364,25149,25737,50522	2539560,2541248,2542161,2541143,2540398,2539928,2539348,2542173
1627+bno7-3783+bno1;0:2,2:3,3:7,4:1,5:6,6:0,7:5;	25454,290364,314856,246331,83785,29560,25453,50522,29495	3361526,2540398,2539847,2540415,2543058,2542222,2540392,2542173,2541143
1628+bno5-1628+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,116590,290364,171574,114027,24392,29477,50522	2541531,2538826,2540398,2543058,2542222,2542173,2541214,2541143
1276+bno2-1627+bno6;0:1,1:2,2:3,5:4,6:5,7:6;	25235,83681,89829,307594,252971,24514,25467,84607,290364,50522	2542161,2541514,2542380,2542173,2539980,2539950,2540398,2543143,2541531,2541143
1309+bno1-1309+bno2;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	170915,83803,290364,114505,500538,84353,65248,24790	2543058,2539560,2540398,2542161,2539185,2541143,2541531,2539265
1276+bno3-1276+bno3;0:0,2:2,3:3,4:4,5:5,7:7;1:1	290364,84353,84578,297893,444985,84577,308212,60563,24392,24680	2542173,2540291,2543027,2538952,2543586,2542843,2539958,2539407,2539560,2539631
1311+bno4-1311+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,65248,117274,24392,290364,25149,25737,50522	2541531,2542161,2540398,2541956,2539728,2542173,2539928,2539560
1709+bno5-1709+bno6;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,116590,24392,25591,25400,290364,29477,50522	2539560,2543058,2540398,2541998,2539847,2541143,2542222,2542173
1627+bno7-3783+bno1;2:3,3:7,4:1,5:6,6:0,7:5;	307594,25454,314856,246331,83785,29560,25453,50522,290364,29495	2539560,3361526,2539847,2540415,2543058,2542222,2540392,2542173,2540398,2541143
1627+bno6-1627+bno6;0:0,2:2,3:3,4:4,5:5,6:6,7:7;	314436,170915,500538,25705,25631,114505,501099,24790,315151	2539560,2543058,2540822,2543042,2539481,2539511,2541531,2540979,2541143
1276+bno5-1627+bno7;1:0,2:4,3:1,4:6,5:5,6:7,7:3;	24790,29477,24253,362110,54254,54244,25591,170915,29577	2542161,2539560,2539958,2541248,2540639,2540291,2542173,2541033,2540398
1718+bno4-1718+bno4;0:0,1:1,3:3,4:4,5:5,6:6,7:7;	83803,171046,170915,114505,500538,65248,24790,161475,84353	2539560,2539958,2542069,2542161,2539185,2541531,2539914,2539676,2541143
1738+bno6-1738+bno7;0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7;	307594,314856,290364,362827,499417,299331,301442,50522	2539560,2543426,2541143,2539668,2543042,2540927,2539481,2541531
