9;28;0,3,8,11,12,15,17,19,23;3,5,3,1,3,2,2,4,5;1,5,8,0,2,4,7,8,1,7,8,6,1,6,7,0,8,3,4,1,2,4,8,0,1,2,5,7
9;26;0,3,6,8,10,13,15,19,22;3,3,2,2,3,2,4,3,4;5,6,8,3,4,7,6,8,1,7,1,6,7,0,8,0,2,4,8,1,3,4,0,2,5,6
9;30;0,3,8,11,12,15,18,20,25;3,5,3,1,3,3,2,5,5;5,7,8,2,4,5,7,8,1,7,8,6,1,6,7,0,1,8,3,4,0,1,2,4,8,0,1,2,5,7
9;28;0,3,7,10,11,14,17,19,23;3,4,3,1,3,3,2,4,5;5,7,8,2,4,5,8,1,7,8,6,1,6,7,0,1,8,3,4,0,2,4,8,0,1,2,5,7
9;28;0,2,7,10,11,14,17,19,23;2,5,3,1,3,3,2,4,5;5,8,2,4,5,7,8,1,7,8,6,1,6,7,0,1,8,3,4,1,2,4,8,0,1,2,5,7
9;26;0,2,6,9,10,13,16,18,21;2,4,3,1,3,3,2,3,5;5,8,2,4,5,8,1,7,8,6,1,6,7,0,1,8,3,4,2,4,8,0,1,2,5,7
9;24;0,1,5,8,9,12,15,17,21;1,4,3,1,3,3,2,4,3;5,2,4,5,7,1,7,8,6,1,6,7,0,1,8,3,4,1,2,4,8,2,5,7
9;26;0,3,7,9,10,12,14,18,21;3,4,2,1,2,2,4,3,5;1,7,8,0,6,7,8,6,8,5,5,6,3,4,1,2,4,8,0,1,8,0,1,2,6,7
9;28;0,4,7,9,10,12,15,20,23;4,3,2,1,2,3,5,3,5;5,6,7,8,4,6,8,6,8,5,1,8,0,3,7,0,1,2,7,8,0,5,6,0,1,2,4,6
9;26;0,3,6,8,9,11,14,19,22;3,3,2,1,2,3,5,3,4;5,6,7,4,6,8,6,8,5,1,8,0,3,7,0,1,2,7,8,0,5,6,1,2,4,6
9;28;0,3,7,9,10,12,15,20,23;3,4,2,1,2,3,5,3,5;5,6,8,4,6,7,8,6,8,5,1,8,0,3,7,0,1,2,7,8,1,5,6,0,1,2,4,6
9;26;0,3,6,8,9,11,14,19,21;3,3,2,1,2,3,5,2,5;5,6,8,4,6,8,6,8,5,1,8,0,3,7,0,1,2,7,8,5,6,0,1,2,4,6
9;24;0,2,5,7,8,10,13,18,20;2,3,2,1,2,3,5,2,4;5,6,4,6,8,6,8,5,1,8,0,3,7,0,1,2,7,8,5,6,1,2,4,6
9;28;0,3,7,10,12,14,17,19,23;3,4,3,2,2,3,2,4,5;5,7,8,2,4,5,8,1,7,8,6,7,1,6,0,1,8,3,4,0,2,3,8,0,1,2,5,7
